factor,horizon_seconds,time_bucket,count,spearman_corr,factor_mean,future_mid_return_mean,zero_return_share
depth_imbalance_1,60,1,26988,-0.030606349264417177,0.49289532980282014,0.001240551356158291,0.5794797687861272
depth_imbalance_1,60,2,27427,0.04361673820687621,0.4382083006703411,4.4664017209319715e-05,0.765960549823167
depth_imbalance_1,60,3,27427,0.16369652340731525,0.22288269517113785,0.00020764210449556968,0.813468479964998
depth_imbalance_1,60,4,27425,0.134041603402945,0.19601703518717384,0.0009695533272561529,0.6750410209662716
depth_imbalance_1,60,5,27427,0.23508961311698207,0.17298327205972633,-0.0006573814124767558,0.6723301855835491
depth_imbalance_1,60,6,27243,0.08848117032893478,0.029690041557478234,-3.2301875711191897e-05,0.9544470139118305
depth_imbalance_1,60,7,27395,0.11728505166560878,-0.013173964126113876,-0.0008870231794123017,0.7131958386566892
depth_imbalance_1,60,8,27306,0.1905026534002288,-0.18199080053854114,0.0004969603750091571,0.3895114626821944
depth_imbalance_1,60,9,26937,0.1513297368045164,-0.05415677990522787,0.0018715892638378473,0.16516315848089988
depth_imbalance_1,60,10,24666,0.04254805392099311,0.04172850497907716,0.032605610962458446,0.14477418308602935
depth_imbalance_1,60,11,27200,0.1976782460081992,-0.15597588711109064,0.007593676470588233,0.4182720588235294
depth_imbalance_1,60,12,27419,0.16791494886337527,-0.33286606957891807,0.010232466537802253,0.16532331594879462
depth_imbalance_1,300,1,27414,-0.0374652470135334,0.4918920769945473,0.004010724447362658,0.5445028087838331
depth_imbalance_1,300,2,27427,0.08670085786022479,0.4382083006703411,0.00014474787618040717,0.6318226565063624
depth_imbalance_1,300,3,27427,0.2158394007062519,0.22288269517113785,0.0007195464323476866,0.600430232982098
depth_imbalance_1,300,4,27420,0.2796804740031946,0.19600388837116328,0.0039897884755652775,0.3597374179431072
depth_imbalance_1,300,5,27427,0.3342637768796465,0.17298327205972633,-0.003972180697852479,0.2934334779596748
depth_imbalance_1,300,6,27365,0.12140164121020539,0.026737763973199675,-0.0002039101041476341,0.8631828978622328
depth_imbalance_1,300,7,27210,0.19210313465861198,-0.008993932250286949,-0.006218302094818082,0.36060271958838663
depth_imbalance_1,300,8,27022,0.09049445172731886,-0.1874205028396056,-0.005768262896898822,0.13973799126637554
depth_imbalance_1,300,9,26515,0.05872791647920649,-0.07502189485780306,0.0007427871016405848,0.02670186686781067
depth_imbalance_1,300,10,24751,0.14379514708584087,0.03968899246840663,0.14576299947476867,0.01034301644378005
depth_imbalance_1,300,11,27427,0.30538964071767344,-0.15360250930798092,0.01914460203449156,0.1493783498012907
depth_imbalance_1,300,12,27392,0.13766876864005914,-0.3322581991470586,0.02175826883761682,0.04373539719626168
depth_imbalance_1,900,1,27411,0.010919832313807535,0.49212789820137026,0.006645872095144282,0.5356973477800883
depth_imbalance_1,900,2,27427,0.0845294037067424,0.4382083006703411,0.000785722098661903,0.45105188318080724
depth_imbalance_1,900,3,27427,0.2809665238289108,0.22288269517113785,0.0023270864476610644,0.47934517081707806
depth_imbalance_1,900,4,27421,0.33100534354228933,0.1959095074822978,0.014323693519565289,0.098610553954998
depth_imbalance_1,900,5,27427,0.5140260213994668,0.17298327205972633,-0.009447259999270787,0.08240055419841762
depth_imbalance_1,900,6,27239,0.2375571847697038,0.025090166660526037,-0.0009719519806160293,0.763243878262785
depth_imbalance_1,900,7,26775,0.43604020791986187,-0.010645037886485645,-0.016218860877684402,0.09818860877684407
depth_imbalance_1,900,8,27413,0.0024618984844565167,-0.180043038112118,-0.023557983438514573,0.017181629154050998
depth_imbalance_1,900,9,26363,0.08091317329165679,-0.06790663970004304,0.001335963281872322,0.0008345029017941812
depth_imbalance_1,900,10,25667,0.21269428876472407,0.0994370681725149,0.4069302996064986,0.0033895663692679314
depth_imbalance_1,900,11,27427,0.20272449970483128,-0.15360250930798092,0.025389470230065263,0.03850220585554381
depth_imbalance_1,900,12,27291,0.23989144619899552,-0.33008526441792924,0.03273357517130189,0.01810120552563116
depth_imbalance_3,60,1,26988,0.17002315162279621,0.44717178888247844,0.001240551356158291,0.5794797687861272
depth_imbalance_3,60,2,27427,0.07932203608727421,0.38730282967979895,4.4664017209319715e-05,0.765960549823167
depth_imbalance_3,60,3,27427,0.08020181351189273,-0.00903527288449247,0.00020764210449556968,0.813468479964998
depth_imbalance_3,60,4,27425,0.1149549474949293,0.15017384521915736,0.0009695533272561529,0.6750410209662716
depth_imbalance_3,60,5,27427,0.19829126052712723,0.063492886836152,-0.0006573814124767558,0.6723301855835491
depth_imbalance_3,60,6,27243,0.040592316660694974,0.1402137298353906,-3.2301875711191897e-05,0.9544470139118305
depth_imbalance_3,60,7,27395,0.10157581965779545,0.07358403023157711,-0.0008870231794123017,0.7131958386566892
depth_imbalance_3,60,8,27306,0.33893499326269283,-0.0012381987145224272,0.0004969603750091571,0.3895114626821944
depth_imbalance_3,60,9,26937,0.11447012739829467,0.12664907771705652,0.0018715892638378473,0.16516315848089988
depth_imbalance_3,60,10,24666,-0.12304495438355184,0.028513564022658474,0.032605610962458446,0.14477418308602935
depth_imbalance_3,60,11,27200,0.18578807323377988,-0.19909060557338012,0.007593676470588233,0.4182720588235294
depth_imbalance_3,60,12,27419,0.16896084445684362,-0.3304640200247664,0.010232466537802253,0.16532331594879462
depth_imbalance_3,300,1,27414,0.32239978792902135,0.4526421747624172,0.004010724447362658,0.5445028087838331
depth_imbalance_3,300,2,27427,0.10532499645740576,0.38730282967979895,0.00014474787618040717,0.6318226565063624
depth_imbalance_3,300,3,27427,0.10360999552924134,-0.00903527288449247,0.0007195464323476866,0.600430232982098
depth_imbalance_3,300,4,27420,0.30878650823882947,0.15006586213010165,0.0039897884755652775,0.3597374179431072
depth_imbalance_3,300,5,27427,0.1823178848681961,0.063492886836152,-0.003972180697852479,0.2934334779596748
depth_imbalance_3,300,6,27365,-0.030242987774560887,0.14134712879362535,-0.0002039101041476341,0.8631828978622328
depth_imbalance_3,300,7,27210,0.24688030143304432,0.07245971515229217,-0.006218302094818082,0.36060271958838663
depth_imbalance_3,300,8,27022,0.541756744569718,-0.0029872771659658352,-0.005768262896898822,0.13973799126637554
depth_imbalance_3,300,9,26515,0.23565590997868827,0.11951717073629702,0.0007427871016405848,0.02670186686781067
depth_imbalance_3,300,10,24751,0.13379110463935234,0.032165292354498026,0.14576299947476867,0.01034301644378005
depth_imbalance_3,300,11,27427,0.30964098849555827,-0.19399068147443843,0.01914460203449156,0.1493783498012907
depth_imbalance_3,300,12,27392,0.21740807434228096,-0.3298801144806754,0.02175826883761682,0.04373539719626168
depth_imbalance_3,900,1,27411,0.4331943102618223,0.45267705611245096,0.006645872095144282,0.5356973477800883
depth_imbalance_3,900,2,27427,0.05555913721166906,0.38730282967979895,0.000785722098661903,0.45105188318080724
depth_imbalance_3,900,3,27427,0.2055528834430263,-0.00903527288449247,0.0023270864476610644,0.47934517081707806
depth_imbalance_3,900,4,27421,0.47928901993705886,0.15013845219285213,0.014323693519565289,0.098610553954998
depth_imbalance_3,900,5,27427,0.2938582021289682,0.063492886836152,-0.009447259999270787,0.08240055419841762
depth_imbalance_3,900,6,27239,0.0784437324957944,0.14059388854952212,-0.0009719519806160293,0.763243878262785
depth_imbalance_3,900,7,26775,0.1627880612302056,0.07072797596915797,-0.016218860877684402,0.09818860877684407
depth_imbalance_3,900,8,27413,0.5331893763487371,-0.0006245874760194505,-0.023557983438514573,0.017181629154050998
depth_imbalance_3,900,9,26363,0.3216652452675864,0.09622463982142661,0.001335963281872322,0.0008345029017941812
depth_imbalance_3,900,10,25667,0.21808606196551167,0.06510170398998245,0.4069302996064986,0.0033895663692679314
depth_imbalance_3,900,11,27427,0.1488223334481766,-0.19399068147443843,0.025389470230065263,0.03850220585554381
depth_imbalance_3,900,12,27291,0.1923793504120852,-0.3277591607792316,0.03273357517130189,0.01810120552563116
depth_imbalance_5,60,1,26988,0.12654804666716632,0.6798072848682604,0.001240551356158291,0.5794797687861272
depth_imbalance_5,60,2,27427,0.09070325502291156,0.40865068913307623,4.4664017209319715e-05,0.765960549823167
depth_imbalance_5,60,3,27427,0.016147420804531833,-0.05340347364357602,0.00020764210449556968,0.813468479964998
depth_imbalance_5,60,4,27425,0.06916641598979435,0.1715234037632244,0.0009695533272561529,0.6750410209662716
depth_imbalance_5,60,5,27427,0.07703771917167784,0.012412331281315605,-0.0006573814124767558,0.6723301855835491
depth_imbalance_5,60,6,27243,0.03454071571929823,0.10391563124432603,-3.2301875711191897e-05,0.9544470139118305
depth_imbalance_5,60,7,27395,0.1741944723508508,-0.017515475050660916,-0.0008870231794123017,0.7131958386566892
depth_imbalance_5,60,8,27306,0.1785478049522431,0.16890864663550628,0.0004969603750091571,0.3895114626821944
depth_imbalance_5,60,9,26937,0.13004085133075413,0.1768532384992201,0.0018715892638378473,0.16516315848089988
depth_imbalance_5,60,10,24666,-0.007345433360931716,0.1035799296088798,0.032605610962458446,0.14477418308602935
depth_imbalance_5,60,11,27200,0.1403450398110377,-0.3137037307911277,0.007593676470588233,0.4182720588235294
depth_imbalance_5,60,12,27419,0.15782581895047643,-0.34955177540994375,0.010232466537802253,0.16532331594879462
depth_imbalance_5,300,1,27414,0.23496457923805472,0.6810714347589146,0.004010724447362658,0.5445028087838331
depth_imbalance_5,300,2,27427,0.09701473336276457,0.40865068913307623,0.00014474787618040717,0.6318226565063624
depth_imbalance_5,300,3,27427,-0.006856572348444126,-0.05340347364357602,0.0007195464323476866,0.600430232982098
depth_imbalance_5,300,4,27420,0.1617308342815689,0.17144902090388298,0.0039897884755652775,0.3597374179431072
depth_imbalance_5,300,5,27427,0.011817462428052941,0.012412331281315605,-0.003972180697852479,0.2934334779596748
depth_imbalance_5,300,6,27365,0.15716399074467371,0.10288258840794935,-0.0002039101041476341,0.8631828978622328
depth_imbalance_5,300,7,27210,0.1774467057448909,-0.018195569533725114,-0.006218302094818082,0.36060271958838663
depth_imbalance_5,300,8,27022,0.4755304447112553,0.17009944853089765,-0.005768262896898822,0.13973799126637554
depth_imbalance_5,300,9,26515,0.24816559328081633,0.17648780883748358,0.0007427871016405848,0.02670186686781067
depth_imbalance_5,300,10,24751,0.15268307445689092,0.11512446336545198,0.14576299947476867,0.01034301644378005
depth_imbalance_5,300,11,27427,0.17998713137630706,-0.30933684978452414,0.01914460203449156,0.1493783498012907
depth_imbalance_5,300,12,27392,0.2327424891044794,-0.34903413833025965,0.02175826883761682,0.04373539719626168
depth_imbalance_5,900,1,27411,0.3345589211792674,0.6811599869858556,0.006645872095144282,0.5356973477800883
depth_imbalance_5,900,2,27427,0.023890601604973836,0.40865068913307623,0.000785722098661903,0.45105188318080724
depth_imbalance_5,900,3,27427,0.17105131436870308,-0.05340347364357602,0.0023270864476610644,0.47934517081707806
depth_imbalance_5,900,4,27421,0.4530075325161665,0.17146916025724057,0.014323693519565289,0.098610553954998
depth_imbalance_5,900,5,27427,0.29309955060703674,0.012412331281315605,-0.009447259999270787,0.08240055419841762
depth_imbalance_5,900,6,27239,0.1799657362168317,0.10197030562240646,-0.0009719519806160293,0.763243878262785
depth_imbalance_5,900,7,26775,0.07705561801528918,-0.025128371803649043,-0.016218860877684402,0.09818860877684407
depth_imbalance_5,900,8,27413,0.7240442185045068,0.16866160203894018,-0.023557983438514573,0.017181629154050998
depth_imbalance_5,900,9,26363,0.44092741203045926,0.15187316706740317,0.001335963281872322,0.0008345029017941812
depth_imbalance_5,900,10,25667,0.24835042168260157,0.13702991474202245,0.4069302996064986,0.0033895663692679314
depth_imbalance_5,900,11,27427,-0.22256104511866007,-0.30933684978452414,0.025389470230065263,0.03850220585554381
depth_imbalance_5,900,12,27291,0.2051568573494625,-0.3470681833649147,0.03273357517130189,0.01810120552563116
microprice_minus_mid,60,1,26988,0.18652348211837708,0.008389761617432793,0.001240551356158291,0.5794797687861272
microprice_minus_mid,60,2,27427,0.07328915752430687,0.006276877241619393,4.4664017209319715e-05,0.765960549823167
microprice_minus_mid,60,3,27427,0.1758230457121041,0.0021740268384351363,0.00020764210449556968,0.813468479964998
microprice_minus_mid,60,4,27425,0.16688454298349034,0.0024296592981331625,0.0009695533272561529,0.6750410209662716
microprice_minus_mid,60,5,27427,0.1699654912484924,0.001999305643739449,-0.0006573814124767558,0.6723301855835491
microprice_minus_mid,60,6,27243,0.09612141798587258,0.00010284399274769208,-3.2301875711191897e-05,0.9544470139118305
microprice_minus_mid,60,7,27395,0.12237431650656651,7.649090674543441e-05,-0.0008870231794123017,0.7131958386566892
microprice_minus_mid,60,8,27306,0.18014446597858474,-0.002413846852101896,0.0004969603750091571,0.3895114626821944
microprice_minus_mid,60,9,26937,0.1506893228454668,-0.00043461535700424996,0.0018715892638378473,0.16516315848089988
microprice_minus_mid,60,10,24666,0.06031380338734992,0.00197451815363659,0.032605610962458446,0.14477418308602935
microprice_minus_mid,60,11,27200,0.1890505051400132,-0.0008872433017706574,0.007593676470588233,0.4182720588235294
microprice_minus_mid,60,12,27419,-0.03670628815799933,-0.006094728266700438,0.010232466537802253,0.16532331594879462
microprice_minus_mid,300,1,27414,0.20347005903503293,0.008419929557906913,0.004010724447362658,0.5445028087838331
microprice_minus_mid,300,2,27427,0.13277148312235204,0.006276877241619393,0.00014474787618040717,0.6318226565063624
microprice_minus_mid,300,3,27427,0.21157794296442153,0.0021740268384351363,0.0007195464323476866,0.600430232982098
microprice_minus_mid,300,4,27420,0.2742736969607667,0.002429857891938266,0.0039897884755652775,0.3597374179431072
microprice_minus_mid,300,5,27427,0.29234654220129075,0.001999305643739449,-0.003972180697852479,0.2934334779596748
microprice_minus_mid,300,6,27365,0.13651346686034743,8.828592871575122e-05,-0.0002039101041476341,0.8631828978622328
microprice_minus_mid,300,7,27210,0.1860539057931889,0.0001108167315104249,-0.006218302094818082,0.36060271958838663
microprice_minus_mid,300,8,27022,0.12944496688619664,-0.0024818994558112252,-0.005768262896898822,0.13973799126637554
microprice_minus_mid,300,9,26515,0.05204765752734168,-0.0006975001027391492,0.0007427871016405848,0.02670186686781067
