factor,factor_family,horizon_seconds,count,raw_spearman,time_neutral_spearman,time_demeaned_spearman,non_overlap_count,non_overlap_spearman,nonzero_direction_hit,quantile_monotonicity_spearman,shape_warning,bucket_ic_mean,bucket_ic_median,bucket_ic_std,bucket_ic_min,bucket_ic_max,bucket_ic_bootstrap_mean_p05,bucket_ic_bootstrap_mean_p95,positive_bucket_share,same_sign_bucket_share,null_abs_spearman_p95,raw_abs_over_null_p95,time_neutral_abs_over_null_p95,passes_basic_screen,candidate_for_cross_event
depth_imbalance_5,book,300,324797,0.11872453550687558,0.17692708009392633,0.17792628854675294,632,0.13742029570726227,0.575556725184333,0.6,False,0.17686587219844255,0.16958877001322992,0.12408394247708929,-0.006856572348444126,0.4755304447112553,0.12139933935912019,0.2300800464978335,0.9166666666666666,0.9166666666666666,0.003559955396024361,33.35000647464942,49.69924069596843,True,True
depth_imbalance_3,book,900,325288,0.14702797102158238,0.2614410551580806,0.264686780123905,212,0.1189126705722535,0.59924103442451,0.49999999999999994,True,0.2602356428458868,0.21181947270426899,0.15478075135704042,0.05555913721166906,0.5331893763487371,0.1925668673880994,0.3354502559169856,1.0,1.0,0.0028751597469371818,51.137322431634175,90.93096668335929,True,False
depth_imbalance_5,book,900,325288,0.1620806013149114,0.242115720982011,0.27955565513108627,212,0.07999588361054148,0.5808667847729335,0.6,False,0.24404559491305322,0.22675363951603206,0.23902568546630226,-0.22256104511866007,0.7240442185045068,0.13705441122156659,0.35563817904098155,0.9166666666666666,0.9166666666666666,0.0029110042033532128,55.67858717902545,83.17257690769243,True,False
depth_imbalance_1,book,900,325288,0.11288863341487407,0.21571231277905323,0.17584767850771119,212,0.077465642727206,0.5902896449855236,0.7,False,0.21947748532712055,0.22512573676721392,0.15924566796229328,0.0024618984844565167,0.5140260213994668,0.14702611371955923,0.30046997765847533,1.0,1.0,0.0031742713013421108,35.56363735108077,67.95648270135199,True,False
depth_imbalance_3,book,300,324797,0.17450388291800548,0.23744686864307338,0.23956696273647154,632,0.20369426639889213,0.6186317118275363,0.3,True,0.2231107757255646,0.2265319921604846,0.14427258958147496,-0.030242987774560887,0.541756744569718,0.15753040296777654,0.2873407906047741,0.9166666666666666,0.9166666666666666,0.0035578706634125145,49.04728120460425,66.73847677625453,True,False
microprice_minus_mid,book,900,325288,0.1286046224738406,0.19029297539952952,0.12384604180730707,212,0.05400476594316451,0.5642664383104257,0.7,False,0.1947512913726359,0.19379713488476646,0.15673567554492768,-0.10298417089378681,0.49067932497628336,0.12525662192195333,0.272499650695769,0.9166666666666666,0.9166666666666666,0.0033876232441441643,37.96308302469768,56.17300440019988,True,False
microprice_minus_mid,book,300,324797,0.13727021504709624,0.15224132499850565,0.1163551021080148,632,0.19569486958916343,0.5600927836492108,0.39999999999999997,True,0.15789975217076196,0.16550370832872333,0.11164937556432548,-0.120700335916314,0.29234654220129075,0.1079474481340563,0.20530871828531508,0.9166666666666666,0.9166666666666666,0.0034165825846284113,40.17763705308643,44.55953316728139,True,False
microprice_minus_mid,book,60,324860,0.10389784091543577,0.12646092972399994,0.10394338355218502,2986,0.12314000372973706,0.5580981302446202,0.39999999999999997,True,0.12787277193938543,0.15878693291447857,0.06855437364056476,-0.03670628815799933,0.1890505051400132,0.09658839620227358,0.15476252928050474,0.9166666666666666,0.9166666666666666,0.002926035267353611,35.5080617361813,43.21920898731162,True,False
depth_imbalance_1,book,300,324797,0.12431868867919503,0.1584495427990562,0.15669175683589612,632,0.17806628922639284,0.5791572151863358,0.39999999999999997,True,0.16071666357955838,0.14073195786295,0.1094097272869563,-0.0374652470135334,0.3342637768796465,0.11413824029501572,0.21318731559880633,0.9166666666666666,0.9166666666666666,0.0037593219353741322,33.069444654205356,42.14843674549174,True,False
depth_imbalance_1,book,60,324860,0.08780017278575872,0.12321010447592724,0.12992812335786036,2986,0.1104334215964758,0.5684647581680026,0.3,True,0.1251314991551298,0.14268567010373068,0.07677262760392015,-0.030606349264417177,0.23508961311698207,0.08907550460468101,0.1598892751431122,0.9166666666666666,0.9166666666666666,0.0031135184505286166,28.199663557751492,39.57262705638006,True,False
ofi_30s,flow_clock_sensitive,300,324797,0.14404852492161893,0.12666974444440818,0.2689238253636718,632,0.07133675294683317,0.5228861676906094,0.3,True,0.12027400231342639,0.07715689601341369,0.11964005581055624,-0.014710467175290218,0.32950281097584416,0.06775442404026841,0.1769712357017242,0.75,0.75,0.003269377861792446,44.05991935194787,38.74429625426078,True,False
depth_imbalance_3,book,60,324860,0.07175170988393238,0.13150296060839434,0.13082028935020615,2986,0.1064383774163607,0.5742688015265637,0.0,True,0.1225058691275474,0.11471253744661197,0.10963773224262638,-0.12304495438355184,0.33893499326269283,0.0702139277395137,0.16823003171117826,0.9166666666666666,0.9166666666666666,0.0036092620493825035,19.879883727535976,36.4348608688285,True,False
depth_imbalance_5,book,60,324860,0.04333309280983795,0.0988181998950337,0.09013370848520662,2986,0.07124442568539369,0.5492834731898713,0.09999999999999999,True,0.09897934395081755,0.10862565084503895,0.06226373257858746,-0.007345433360931716,0.1785478049522431,0.0685952775809673,0.12562245616579348,0.9166666666666666,0.9166666666666666,0.003466385597086109,12.5009441668187,28.50756129903771,True,False
ofi_30s,flow_clock_sensitive,60,324860,0.10209331056547001,0.10884478255019371,0.30652479591881465,2986,0.06056995554467883,0.5258426664337591,0.3,True,0.08638747753642761,0.06648682155587601,0.08778201552413649,-0.056259432829440334,0.26268230223035516,0.04686305804165472,0.12458994782902766,0.8333333333333334,0.8333333333333334,0.00443170095034047,23.037048688410845,24.560498050264787,True,False
trade_pressure_30s,flow_clock_sensitive,300,324797,0.07053480324084199,0.02836936265041264,0.14807699873894964,632,0.025708569627888058,0.49833017378302974,,True,0.060149923459417554,0.048747553743760386,0.1553567490068729,-0.18790827129890536,0.41202397950936726,-0.00506514684858671,0.13051946480474272,0.6666666666666666,0.6666666666666666,0.002718091167473756,25.950124147748266,10.437237348730893,False,False
ofi_30s,flow_clock_sensitive,900,325288,0.10259156796095445,0.0347925883389171,0.08945983656171813,212,0.07724608423936193,0.4917371441590428,0.3,True,0.03672181849495533,0.06409488862480096,0.19792184118200373,-0.2595708973921324,0.34512690131534046,-0.056920711284547613,0.1215478463427077,0.6666666666666666,0.6666666666666666,0.0033546504351138428,30.58189517664988,10.371449726843561,False,False
trade_pressure_30s,flow_clock_sensitive,60,324860,0.09356277932032807,0.02982180201496058,0.24403309525694322,2986,0.025049513818698292,0.5085291212888748,,True,0.07433191303329638,0.08896121105651963,0.11950525688535107,-0.1105061380208772,0.23601172729922926,0.018726225760108937,0.12720195502380696,0.6666666666666666,0.6666666666666666,0.0035856117092672927,26.09395185722642,8.31707514170701,False,False
trade_pressure_30s,flow_clock_sensitive,900,325288,0.019504502397136275,-0.03143963436269682,0.04618211792756236,212,0.026197662570525877,0.44831541443908035,,True,-0.018344595319367895,-0.0038103156834695517,0.15241047850298597,-0.29437699610251816,0.28721051547875315,-0.08478473208948954,0.048568403930027745,0.5,0.5,0.003786362607022205,5.15125053288957,8.303387082998531,False,False
