factor,horizon_seconds,count,factor_mean,factor_std,future_mid_return_mean,future_mid_return_std,pearson_corr,spearman_corr,ols_slope_ret_per_factor_unit,bottom_quantile_mean_return,top_quantile_mean_return,top_minus_bottom_mean_return,positive_return_share,zero_return_share
depth_imbalance_1,60,324860,0.0715192414706765,0.5528107206753462,0.0042452964353875515,0.029538472778431694,0.030959067727805094,0.08780017278575872,0.0016542435685874672,0.0013866538367546444,0.002809204956515045,0.0014225511197604008,0.2660007387797821,0.5418241704118697
depth_imbalance_1,300,324797,0.07031115511245889,0.5538669393281869,0.014014958574124763,0.07084065420852113,0.04100031111577961,0.12431868867919503,0.00524401919659211,0.005733342549073819,0.008329111308880553,0.002595768759806734,0.37839943102922746,0.33899327887880737
depth_imbalance_1,900,325288,0.07606063930066936,0.5530917630526052,0.03493600747645164,0.1342957316903798,0.060875977920750814,0.11288863341487407,0.014781243445234736,0.014104572253270286,0.03016010193166803,0.016055529678397743,0.4742628071124665,0.21739197265192692
depth_imbalance_3,60,324860,0.07308817603573484,0.42365062375360973,0.0042452964353875515,0.029538472778431694,0.002761857121735003,0.07175170988393238,0.00019256679167722353,0.002295181001046606,0.0027774784067989694,0.0004822974057523636,0.2660007387797821,0.5418241704118697
depth_imbalance_3,300,324797,0.07391396917970923,0.4253987968499378,0.014014958574124763,0.07084065420852113,0.05000591931172132,0.17450388291800548,0.00832736731879023,0.0039058815380352834,0.013907296798029552,0.010001415259994269,0.37839943102922746,0.33899327887880737
depth_imbalance_3,900,325288,0.07467221532534503,0.4234952341916018,0.03493600747645164,0.1342957316903798,0.06859612442289728,0.14702797102158238,0.02175270458021131,0.012179910851521675,0.04105914317336366,0.02887923232184199,0.4742628071124665,0.21739197265192692
depth_imbalance_5,60,324860,0.09019122074500356,0.4088116214073196,0.0042452964353875515,0.029538472778431694,0.006538135879460762,0.04333309280983795,0.0004724096346192601,0.0023579255998645585,0.0024103583815028888,5.2432781638330275e-05,0.2660007387797821,0.5418241704118697
depth_imbalance_5,300,324797,0.09192395768995057,0.4106249316873581,0.014014958574124763,0.07084065420852113,0.05436435918621041,0.11872453550687558,0.009378891716468898,0.005620534133764335,0.013455152186965958,0.007834618053201623,0.37839943102922746,0.33899327887880737
depth_imbalance_5,900,325288,0.09145793169835699,0.4087811285477745,0.03493600747645164,0.1342957316903798,0.0988230041081303,0.1620806013149114,0.032466047764217514,0.005894024577572963,0.03969031120555581,0.03379628662798284,0.4742628071124665,0.21739197265192692
microprice_minus_mid,60,324860,0.0011217472104027991,0.014218222003410072,0.0042452964353875515,0.029538472778431694,-0.010514436254463598,0.10389784091543577,-0.021843827519962725,0.005159161466818309,0.008062927212266766,0.0029037657454484573,0.2660007387797821,0.5418241704118697
microprice_minus_mid,300,324797,0.0011173539837218487,0.014235207342197763,0.014014958574124763,0.07084065420852113,0.023102156889758193,0.13727021504709624,0.11496649598120255,0.013234824281150161,0.025997633218206487,0.012762808937056325,0.37839943102922746,0.33899327887880737
microprice_minus_mid,900,325288,0.0012087151540141256,0.014244149931677724,0.03493600747645164,0.1342957316903798,0.043945717207476954,0.1286046224738406,0.4143260408900727,0.02933061619231832,0.06998508105447722,0.0406544648621589,0.4742628071124665,0.21739197265192692
ofi_30s,60,324860,97.66195567321307,480.6880587779166,0.0042452964353875515,0.029538472778431694,0.18603991559015692,0.10209331056547001,1.1432226954696403e-05,0.004912423667847084,0.014162950930730266,0.009250527262883182,0.2660007387797821,0.5418241704118697
ofi_30s,300,324797,101.15689021142437,484.8846705226898,0.014014958574124763,0.07084065420852113,0.13202380143361692,0.14404852492161893,1.9288406157636348e-05,0.013629912198448555,0.0520196754626351,0.03838976326418654,0.37839943102922746,0.33899327887880737
ofi_30s,900,325288,100.86457216374411,483.82067665139186,0.03493600747645164,0.1342957316903798,0.07415057311630796,0.10259156796095445,2.0582223853757945e-05,0.0619940865803298,0.07610303235956443,0.014108945779234633,0.4742628071124665,0.21739197265192692
trade_pressure_30s,60,324860,4.898415354691251,44.73239733460073,0.0042452964353875515,0.029538472778431694,0.06928945056241907,0.09356277932032807,4.575441226547812e-05,0.0017369055890412897,0.02145657382087457,0.01971966823183328,0.2660007387797821,0.5418241704118697
trade_pressure_30s,300,324797,5.359994935535119,44.421412365852845,0.014014958574124763,0.07084065420852113,0.08021161323929882,0.07053480324084199,0.0001279167602820476,0.007831426374498603,0.054993401432429256,0.047161975057930655,0.37839943102922746,0.33899327887880737
trade_pressure_30s,900,325288,5.223491442952092,45.07514485529061,0.03493600747645164,0.1342957316903798,0.018281500419579152,0.019504502397136275,5.44674339511789e-05,0.024437341644669187,0.10517042150303776,0.08073307985836858,0.4742628071124665,0.21739197265192692
