bucket,activity_events,updates_per_minute,trades_per_minute,minutes_with_updates,minutes_with_trades,active_markets,spread,signal_events,ic,zero,crossing,coverage
48-72h,24.0,297.9830802458489,0.0785019482521795,0.96843191686241,0.0539746802904697,4.779816021497068,0.01,24.0,0.0835961776146131,0.652274564775253,-0.0133623485531887,0.9990787740179202
36-48h,35.0,356.13421052631577,0.1067961165048543,0.9555555555555556,0.0638888888888888,5.030555555555556,0.008,35.0,0.0718457812107508,0.7199553671460918,-0.0072843834592036,0.9991246310823656
24-36h,36.0,388.8881944444445,0.1159722222222222,0.9222222222222224,0.0673611111111111,4.93125,0.005,36.0,0.0950813956137171,0.7821095536172322,-0.0065568255663085,0.9977763187764186
12-24h,36.0,647.5090277777778,0.3520833333333333,0.9604166666666668,0.1340277777777777,4.959027777777777,0.005,36.0,0.1105792779713611,0.681352713336904,-0.0089620376429648,0.9949504487675976
6-12h,36.0,413.20972222222224,0.6555555555555556,0.8680555555555556,0.2333333333333333,4.408333333333333,0.00125,36.0,0.1152605790930843,0.4765894198301905,-0.0150022251100148,0.966230115621875
3-6h,35.0,0.1111111111111111,0.05,0.0222222222222222,0.0444444444444444,3.1666666666666665,0.001,20.0,0.0652054089018227,0.8971844347117509,-0.0010960884353741,0.8279617121152398
1-3h,33.0,0.0,0.025,0.0,0.025,3.0,0.001,6.0,0.1807674152582393,0.9123122317596566,-0.0008999999999999,0.664970386063529
0-1h,21.0,0.0,0.0512820512820512,0.0,0.0512820512820512,3.0,0.001,1.0,,,,0.0
