event_slug,city,quality,factor,horizon_seconds,slice_name,slice_value,token_count,coverage,zero_rate,ic,nonzero_hit_rate,top_bottom,crossing_markout_diagnostic
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,60,price_bucket,"(0.80,0.96]",1,0.9999802038998318,0.6956091380607357,0.10285550091460477,0.5712513871662641,0.0018615533807799594,-0.0084448805629894
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,60,price_bucket,"(0.96,1]",1,0.9918608200223827,0.6551441173453687,0.03376315870585384,0.5027698757298997,-7.217277033218298e-05,-0.004774404976096226
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,60,price_bucket,"[0,0.04)",10,0.9754930531617951,0.836920403929617,0.06976277897294221,0.5591899608428816,0.00015360383599953675,-0.0021392741593121703
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,60,price_bucket,"[0.04,0.20)",8,0.8724489795918368,0.15452434191097825,0.5926760278612904,0.7697945686842157,0.01899119984732462,-0.00379778639465288
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,60,price_bucket,"[0.20,0.80]",1,1.0,0.007246376811594203,0.2445019628056277,0.8014705882352942,0.043263888888888845,-0.10897810218978099
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,60,spread_bucket,medium,11,0.9707260004248393,0.8595732114524531,0.05891700722480051,0.5963026615227653,-6.230755120240043e-05,-0.0021849936903634553
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,60,spread_bucket,tight,11,0.996693911520622,0.8469996628139252,0.05301936367583191,0.5283026972520275,0.0003307225604340683,-0.0012115224581811309
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,60,spread_bucket,wide,11,0.961879903023581,0.7895888481895406,0.1042056584810856,0.541818983533712,0.0005536092039359373,-0.0050397985054713955
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,activity_bucket,high,11,0.9062350462681473,0.7804597101047407,0.03458966925497737,0.4839943394368038,0.00038494134758669594,-0.0023948001411183873
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,activity_bucket,low,11,0.9838563658467462,0.8265392829342979,0.1269687750258036,0.6356432970000331,0.0007859335551650124,-0.0032317363424382035
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,activity_bucket,medium,11,0.9771312198204701,0.7856378665517604,0.09729318337812373,0.5645155520833994,0.00048066935093875074,-0.002758779398455072
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,lifecycle_bucket,early,11,0.9663108583899198,0.7758119832350627,0.08036873768890045,0.5564901186344847,0.000658506356939906,-0.003182006364871595
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,lifecycle_bucket,late,1,0.9017857142857143,0.7920792079207921,0.019893616424742383,0.49523809523809526,0.00021844404674173823,-0.000766336633663393
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,lifecycle_bucket,mid,6,0.9960450356180307,0.7601634929295643,0.1570988296971327,0.5514312107269382,0.0004407942105427085,-0.002378018067241389
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,overall,all,11,0.9680669579539529,0.7854312335460023,0.0899479602474746,0.5500102119645001,0.00044540462447255103,-0.0026008099338259393
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,price_bucket,"(0.80,0.96]",1,1.0,0.6136197169157676,0.12779443983860325,0.5923088787208883,0.0026102575391636017,-0.008183324743289859
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,price_bucket,"(0.96,1]",1,0.9850442567911283,0.5800454451559595,0.030407227134904097,0.4759490540373439,0.00022654987512726803,-0.004749598840519688
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,price_bucket,"[0,0.04)",10,0.9664285753978069,0.7912551839698894,0.0943072588326368,0.5518547855753894,0.0002796950879711389,-0.001942612030242154
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,price_bucket,"[0.04,0.20)",8,0.75,0.13394324797767276,0.4240850424168857,0.6986750588059025,0.001141142924036204,-0.006669809092708325
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,price_bucket,"[0.20,0.80]",1,1.0,0.0,0.41173317146013944,0.8029197080291971,0.05374999999999997,-0.09664233576642334
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,spread_bucket,medium,11,0.9632221337464089,0.8170978926109673,0.05927969356797243,0.556670616829987,4.362800934706453e-05,-0.0021804996272675337
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,spread_bucket,tight,11,0.9962583870891142,0.7975060477965754,0.07781806457377312,0.5234141819674343,0.00048152413718020843,-0.0011723717193938372
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,120,spread_bucket,wide,11,0.9447109456359892,0.7445508792675345,0.12928755138519402,0.5295925598558884,0.0009037316286640156,-0.0045368254912100435
