event_slug,city,quality,factor,horizon_seconds,slice_name,slice_value,token_count,coverage,zero_rate,ic,nonzero_hit_rate,top_bottom,crossing_markout_diagnostic
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,900,price_bucket,"[0,0.04)",10,0.9157485719281784,0.59742089545575,0.2257246116582448,0.5990708120329177,0.0009159777201574447,-0.0018351772067401965
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,900,price_bucket,"[0.04,0.20)",8,0.625,0.10059515937045364,-0.21652807134116347,0.6299030915867437,-0.0001598868761560606,-0.005633588081882653
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,900,price_bucket,"[0.20,0.80]",1,1.0,0.0,0.048743159773054885,0.7664233576642335,-0.002552083333333399,-0.039671532846715304
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,30,price_bucket,"(0.80,0.96]",1,0.9999208155993269,0.7560333392726337,0.0782281252018764,0.549633848657445,0.001447865831336422,-0.008594598878563935
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,30,price_bucket,"(0.96,1]",1,0.9954217112625903,0.7148405560098119,0.02429064240457461,0.49847642946764653,0.00016129286139999116,-0.004772116318290995
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,30,price_bucket,"[0,0.04)",10,0.9871652513311677,0.8631840908044147,0.06083162693491042,0.5564364115875631,-7.847910647382623e-05,-0.0021868627041180077
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,30,price_bucket,"[0.04,0.20)",8,0.882694881231181,0.18952522535877914,0.389850292892548,0.8021054587935429,0.005311016606209592,-0.0025082131273862825
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,30,price_bucket,"[0.20,0.80]",1,1.0,0.021739130434782608,0.09469620721607303,0.7925925925925926,0.03553240740740737,-0.11590579710144926
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,60,price_bucket,"(0.80,0.96]",1,0.9999802038998318,0.6956091380607357,0.0875555361116366,0.5708887151420381,0.0020485054437301906,-0.008446625985655988
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,60,price_bucket,"(0.96,1]",1,0.9918608200223827,0.6551441173453687,0.03696779268293857,0.49947939907779265,0.00020398964580406765,-0.004783633379494274
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,60,price_bucket,"[0,0.04)",10,0.9754930531617951,0.836920403929617,0.07884214380756287,0.5582445109116183,-0.00034914034137967486,-0.002142162859632267
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,60,price_bucket,"[0.04,0.20)",8,0.8724489795918368,0.15452434191097825,0.5702178766778299,0.7696735412714278,0.012279627458875314,-0.0037980741276577522
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,60,price_bucket,"[0.20,0.80]",1,1.0,0.007246376811594203,0.22833496407143752,0.8029197080291971,0.043263888888888845,-0.10688405797101447
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,120,price_bucket,"(0.80,0.96]",1,1.0,0.6136197169157676,0.129071521844021,0.5920525721326625,0.0031910511475235098,-0.008183437345220411
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,120,price_bucket,"(0.96,1]",1,0.9850442567911283,0.5800454451559595,0.04537261121432221,0.4733735087935063,0.0004304781353838298,-0.00475781128957289
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,120,price_bucket,"[0,0.04)",10,0.9664285753978069,0.7912551839698894,0.08370963576922227,0.5515352930423727,0.0001019228189449586,-0.0019451696276018581
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,120,price_bucket,"[0.04,0.20)",8,0.75,0.13394324797767276,0.40156355405213584,0.698622563018353,0.0024587691916831775,-0.006670005560058545
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,120,price_bucket,"[0.20,0.80]",1,1.0,0.0,0.38687030316952353,0.8043478260869565,0.05374999999999997,-0.09456521739130433
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,300,price_bucket,"(0.80,0.96]",1,1.0,0.46774225477580916,0.21544135004606002,0.6320160899847295,0.005143080252455907,-0.007332679544328881
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,300,price_bucket,"(0.96,1]",1,0.9658663139688677,0.46358034444620005,0.08759752103413962,0.4460919088766693,0.001474450280568514,-0.0047382808385125815
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,300,price_bucket,"[0,0.04)",10,0.9594450849556454,0.7289352408805707,0.11978540143349689,0.5823083264752762,0.0003760320346427611,-0.0018707777606432469
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,300,price_bucket,"[0.04,0.20)",8,0.5,0.16390027774103955,0.07675178660001657,0.5604755504050415,0.003814556613926262,-0.013558901493496115
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,300,price_bucket,"[0.20,0.80]",1,1.0,0.0,0.4161879909053749,0.7681159420289855,0.023177083333333334,-0.08590579710144924
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,600,price_bucket,"(0.80,0.96]",1,1.0,0.38085717113728595,0.3162325818403402,0.6554936611601998,0.008918136784675472,-0.006318583457157015
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,600,price_bucket,"(0.96,1]",1,0.9450605351510836,0.31919474647432444,0.10988616091130435,0.5220210326559659,0.0015794951698545334,-0.004504521720406951
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,600,price_bucket,"[0,0.04)",10,0.9350558996921225,0.6654150030072958,0.13656038515970464,0.6035617770111922,0.0003298930195201104,-0.0018573836956768668
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,600,price_bucket,"[0.04,0.20)",8,0.625,0.10864398133277911,-0.23877549485760635,0.6347442077862441,0.001198970520591038,-0.00575047562980883
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,600,price_bucket,"[0.20,0.80]",1,1.0,0.0,0.378163745976191,0.7681159420289855,0.020804398148148162,-0.07398550724637679
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,900,price_bucket,"(0.80,0.96]",1,0.9999802038998318,0.3458051233321455,0.2661875077065544,0.5897598934205347,0.009538542703125577,-0.006802591433213144
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,900,price_bucket,"(0.96,1]",1,0.9331061145589582,0.30900070871722185,0.043479041643909457,0.5073378570301404,0.0014446426246497817,-0.004574910042525351
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,900,price_bucket,"[0,0.04)",10,0.9157485719281784,0.59742089545575,0.1303462819236203,0.5995360984863274,0.0004202629832834023,-0.0018332322914950516
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,900,price_bucket,"[0.04,0.20)",8,0.625,0.10059515937045364,-0.2497998232287754,0.6299704374770221,0.001852585288114458,-0.005632892496373452
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,microprice_minus_mid,900,price_bucket,"[0.20,0.80]",1,1.0,0.0,0.09517915894391792,0.7681159420289855,-0.002552083333333399,-0.03695652173913041
highest-temperature-in-busan-on-june-6-2026,Busan,clean,depth_imbalance_1,30,price_bucket,"(0.80,0.96]",1,1.0,0.6604724409448819,0.01863440523094094,0.6848466067555005,0.0003714113364534589,-0.011325275880189173
highest-temperature-in-busan-on-june-6-2026,Busan,clean,depth_imbalance_1,30,price_bucket,"(0.96,1]",1,0.9983974358974359,0.43463527733190654,-0.15380930953599925,0.41576354679802957,-0.0017441391084455401,-0.005798165137614677
highest-temperature-in-busan-on-june-6-2026,Busan,clean,depth_imbalance_1,30,price_bucket,"[0,0.04)",10,0.9967465845004334,0.8918441825756851,0.09710747578282371,0.6079547886675589,0.00020188936028999062,-0.0023065483816262083
highest-temperature-in-busan-on-june-6-2026,Busan,clean,depth_imbalance_1,30,price_bucket,"[0.04,0.20)",7,0.9971743430347555,0.5817406360881102,0.20613169108344134,0.602483945987317,0.0028671901014715863,-0.037520414563891755
highest-temperature-in-busan-on-june-6-2026,Busan,clean,depth_imbalance_1,30,price_bucket,"[0.20,0.80]",6,0.8984999487787387,0.5165897759845607,-0.014241515297984966,0.6760893066542623,0.011767287849283258,-0.13142846139564335
highest-temperature-in-busan-on-june-6-2026,Busan,clean,depth_imbalance_1,60,price_bucket,"(0.80,0.96]",1,1.0,0.5778477690288714,-0.010250404069784993,0.6768809167912307,0.0020713468538741736,-0.01109826589595375
