factor,horizon_seconds,events,coverage,zero_rate,median_event_ic,positive_event_rate,median_top_bottom,bootstrap_mean_ic_low,bootstrap_mean_ic_high
depth_imbalance_1,30,6,0.995371428500509,0.7629421417348047,0.05266043659468234,1.0,0.0004742018922666328,0.04962807486386322,0.09939603474547326
depth_imbalance_1,120,6,0.9882664145396639,0.6706570514095179,0.07572224397459862,1.0,0.0008514996480900988,0.05897848683270531,0.11799730532588958
depth_imbalance_1,600,6,0.9722961866309104,0.5292373633674026,0.07930807867916183,1.0,0.0015368374256267913,0.050221895782763315,0.15918945520600192
microprice_minus_mid,30,6,0.995371428500509,0.7629421417348047,0.05085057318281821,1.0,0.00019097744138500501,0.029925641133753584,0.0960133245438737
microprice_minus_mid,120,6,0.9882664145396639,0.6706570514095179,0.06243669233220951,0.8333333333333334,0.00018340311937053928,0.022853019462198285,0.10001040848725097
microprice_minus_mid,600,6,0.9722961866309104,0.5292373633674026,0.07605335361570993,0.6666666666666666,0.0004166225338041714,0.011200262337994215,0.12303373508099641
