client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
EXPIRATION-LEG-9491e7aa-dbd3-417c-8e60-6b8a66bb01a9,POLY-BACKTEST-001,TakeBestAskOnce-000,0x715ee73ffee65801adb9f51098cf61a14fb4262ae2b20eeb1d68528bdde59c41-93683348120137447419301462197228170067558545967622008841151707439369216600718.POLYMARKET,POLYMARKET-1-002,0x715ee73ffee65801adb9f51098cf61a14fb4262ae2b20eeb1d68528bdde59c41-93683348120137447419301462197228170067558545967622008841151707439369216600718.POLYMARKET-TakeBestAskOnce-000,,T-6f25e66b535ddd61-002,MARKET,SELL,1.000000,GTC,True,False,1.000000,TAKER,1.0,0.0,['0.000000 pUSD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,['EXPIRATION_POLYMARKET_CLOSE'],306443c2-d4ec-4cf5-a800-929e4ede1335,2026-06-09 16:42:19+00:00,2026-06-09 16:42:19+00:00
O-20260607-043540-001-000-1,POLY-BACKTEST-001,TakeBestAskOnce-000,0x715ee73ffee65801adb9f51098cf61a14fb4262ae2b20eeb1d68528bdde59c41-93683348120137447419301462197228170067558545967622008841151707439369216600718.POLYMARKET,POLYMARKET-1-001,0x715ee73ffee65801adb9f51098cf61a14fb4262ae2b20eeb1d68528bdde59c41-93683348120137447419301462197228170067558545967622008841151707439369216600718.POLYMARKET-TakeBestAskOnce-000,POLYMARKET-001,T-afa019b485a6ac7f-001,MARKET,BUY,1.000000,GTC,False,False,1.000000,TAKER,0.81,0.0,['0.007690 pUSD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,6e607211-f5ad-4abb-8957-e5938164ad22,2026-06-07 04:35:40.259000+00:00,2026-06-07 04:35:40.259000+00:00
