factor,horizon_seconds,events,coverage,zero_rate,median_event_ic,positive_event_rate,median_top_bottom,bootstrap_mean_ic_low,bootstrap_mean_ic_high
depth_imbalance_1,30,6,0.9257226028631531,0.892012815532183,0.049172417672503216,0.8333333333333334,0.0001186048276236846,-0.0059249984841577745,0.189321056053554
depth_imbalance_1,120,6,0.9035428573492418,0.825799469345053,0.074994182148635,0.6666666666666666,0.00017320856195187894,0.012563566023491526,0.22636902670809814
depth_imbalance_1,600,6,0.8155685400876438,0.7093028783458853,0.1529563158440726,0.8333333333333334,0.0003798629900967265,0.04941469638265575,0.3383887663762842
microprice_minus_mid,30,6,0.9257226028631531,0.892012815532183,0.06377435122334578,0.8333333333333334,-6.413636344333445e-05,0.0063981300223058925,0.19623215511427528
microprice_minus_mid,120,6,0.9035428573492418,0.825799469345053,0.09319446127716535,0.8333333333333334,6.843864894985555e-05,0.0316216472076579,0.2254040056979004
microprice_minus_mid,600,6,0.8155685400876438,0.7093028783458853,0.14625377144801266,1.0,0.00010485323949012156,0.07908580609504906,0.3130456623648495
