event_slug,city,quality,factor,horizon_seconds,slice_name,slice_value,token_count,coverage,zero_rate,ic,nonzero_hit_rate,top_bottom,crossing_markout_diagnostic
highest-temperature-in-chicago-on-june-4-2026,Chicago,clean,microprice_minus_mid,120,price_bucket,"(0.96,1]",1,0.27906976744186046,1.0,,,0.0,-0.0020000000000000018
highest-temperature-in-chicago-on-june-4-2026,Chicago,clean,microprice_minus_mid,120,price_bucket,"[0,0.04)",1,0.9705426356589147,0.9824281150159745,-0.03134591375532011,0.36363636363636365,-9.803921568627451e-06,-0.0015055910543130989
highest-temperature-in-chicago-on-june-4-2026,Chicago,clean,microprice_minus_mid,300,price_bucket,"(0.96,1]",1,0.06976744186046512,1.0,,,,-0.0020000000000000018
highest-temperature-in-chicago-on-june-4-2026,Chicago,clean,microprice_minus_mid,300,price_bucket,"[0,0.04)",1,0.9550387596899225,0.9935064935064936,0.16379362866316666,1.0,1.3071895424836602e-05,-0.0014999999999999998
highest-temperature-in-chicago-on-june-4-2026,Chicago,clean,microprice_minus_mid,600,price_bucket,"(0.96,1]",1,0.0,,,,,
highest-temperature-in-chicago-on-june-4-2026,Chicago,clean,microprice_minus_mid,600,price_bucket,"[0,0.04)",1,0.9209302325581395,0.9915824915824916,0.12052132982979545,0.8,9.803921568627451e-06,-0.0015008417508417507
highest-temperature-in-chicago-on-june-4-2026,Chicago,clean,microprice_minus_mid,900,price_bucket,"(0.96,1]",1,0.0,,,,,
highest-temperature-in-chicago-on-june-4-2026,Chicago,clean,microprice_minus_mid,900,price_bucket,"[0,0.04)",1,0.8930232558139535,0.9861111111111112,0.03176377630744672,0.5,0.0,-0.001503472222222222
highest-temperature-in-denver-on-june-4-2026,Denver,clean,depth_imbalance_1,30,price_bucket,"(0.96,1]",1,0.7326732673267327,0.8918918918918919,0.541871121560874,1.0,0.0003809523809523813,-0.0017837837837837854
highest-temperature-in-denver-on-june-4-2026,Denver,clean,depth_imbalance_1,30,price_bucket,"[0,0.04)",1,0.9984627209838586,0.9953810623556582,0.0981847166545032,1.0,1.9161694529172734e-05,-0.0011189376443418017
highest-temperature-in-denver-on-june-4-2026,Denver,clean,depth_imbalance_1,60,price_bucket,"(0.96,1]",1,0.48514851485148514,1.0,,,0.0,-0.0020000000000000018
highest-temperature-in-denver-on-june-4-2026,Denver,clean,depth_imbalance_1,60,price_bucket,"[0,0.04)",1,0.9966179861644888,0.9913620237544347,0.13340039940223083,1.0,3.8134276248039334e-05,-0.00111715255283048
highest-temperature-in-denver-on-june-4-2026,Denver,clean,depth_imbalance_1,120,price_bucket,"(0.96,1]",1,0.7524752475247525,0.8947368421052632,0.5353741123983146,1.0,0.00040000000000000034,-0.0017894736842105278
highest-temperature-in-denver-on-june-4-2026,Denver,clean,depth_imbalance_1,120,price_bucket,"[0,0.04)",1,0.9926210607225211,0.9852872851169273,0.1725073887656413,1.0,6.592205103656206e-05,-0.001114604305404987
highest-temperature-in-denver-on-june-4-2026,Denver,clean,depth_imbalance_1,300,price_bucket,"(0.96,1]",1,0.6138613861386139,0.8709677419354839,0.5854950765960114,1.0,0.00047058823529411804,-0.0017419354838709693
highest-temperature-in-denver-on-june-4-2026,Denver,clean,depth_imbalance_1,300,price_bucket,"[0,0.04)",1,0.9833973866256726,0.9762388619665469,0.20911316794363774,1.0,8.128536029596513e-05,-0.001111224011255276
highest-temperature-in-denver-on-june-4-2026,Denver,clean,depth_imbalance_1,600,price_bucket,"(0.96,1]",1,0.43564356435643564,0.75,0.7251980859675242,1.0,0.0010129870129870137,-0.0015681818181818195
highest-temperature-in-denver-on-june-4-2026,Denver,clean,depth_imbalance_1,600,price_bucket,"[0,0.04)",1,0.965564950038432,0.9746855596242636,0.22168168312732206,1.0,8.493586046189695e-05,-0.0011127209043145998
highest-temperature-in-denver-on-june-4-2026,Denver,clean,depth_imbalance_1,900,price_bucket,"(0.96,1]",1,0.48514851485148514,0.7346938775510204,0.5942141835444751,1.0,0.0007272727272727279,-0.0015714285714285728
highest-temperature-in-denver-on-june-4-2026,Denver,clean,depth_imbalance_1,900,price_bucket,"[0,0.04)",1,0.9485011529592621,0.9565640194489465,0.2932315141578874,1.0,0.00011955172409550653,-0.0011059157212317669
highest-temperature-in-denver-on-june-4-2026,Denver,clean,microprice_minus_mid,30,price_bucket,"(0.96,1]",1,0.7326732673267327,0.8918918918918919,0.541871121560874,1.0,0.0003809523809523813,-0.0017837837837837854
highest-temperature-in-denver-on-june-4-2026,Denver,clean,microprice_minus_mid,30,price_bucket,"[0,0.04)",1,0.9984627209838586,0.9953810623556582,0.10630620442041712,1.0,2.016231543952283e-05,-0.0011189376443418017
highest-temperature-in-denver-on-june-4-2026,Denver,clean,microprice_minus_mid,60,price_bucket,"(0.96,1]",1,0.48514851485148514,1.0,,,0.0,-0.0020000000000000018
highest-temperature-in-denver-on-june-4-2026,Denver,clean,microprice_minus_mid,60,price_bucket,"[0,0.04)",1,0.9966179861644888,0.9913620237544347,0.14304994016813502,1.0,3.9764023336918614e-05,-0.00111715255283048
highest-temperature-in-denver-on-june-4-2026,Denver,clean,microprice_minus_mid,120,price_bucket,"(0.96,1]",1,0.7524752475247525,0.8947368421052632,0.5353741123983146,1.0,0.00040000000000000034,-0.0017894736842105278
highest-temperature-in-denver-on-june-4-2026,Denver,clean,microprice_minus_mid,120,price_bucket,"[0,0.04)",1,0.9926210607225211,0.9852872851169273,0.18395385027835548,1.0,6.845735145529806e-05,-0.001114604305404987
highest-temperature-in-denver-on-june-4-2026,Denver,clean,microprice_minus_mid,300,price_bucket,"(0.96,1]",1,0.6138613861386139,0.8709677419354839,0.5854950765960114,1.0,0.00047058823529411804,-0.0017419354838709693
highest-temperature-in-denver-on-june-4-2026,Denver,clean,microprice_minus_mid,300,price_bucket,"[0,0.04)",1,0.9833973866256726,0.9762388619665469,0.2277155556801463,1.0,8.655258955053615e-05,-0.001111224011255276
highest-temperature-in-denver-on-june-4-2026,Denver,clean,microprice_minus_mid,600,price_bucket,"(0.96,1]",1,0.43564356435643564,0.75,0.7251980859675242,1.0,0.0010129870129870137,-0.0015681818181818195
