event_slug,event_title,event_start,event_end,market_index,market_label,condition_id,asset_id,token_side,queue_model,fill_window_seconds,markout_seconds,timestamp_received,fill_timestamp,quote_side,factor_quantile,quote_price,future_mid,markout,fill_wait_seconds
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,60,2026-06-08 03:40:42.494000+00:00,2026-06-08 03:43:09.203000+00:00,buy_bid,4,0.002,0.003,0.001,146.709
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,60,2026-06-08 03:41:57.671000+00:00,2026-06-08 03:43:09.203000+00:00,buy_bid,4,0.002,0.003,0.001,71.532
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,60,2026-06-08 03:42:55.776000+00:00,2026-06-08 03:43:09.203000+00:00,buy_bid,4,0.002,0.003,0.001,13.427
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,60,2026-06-08 09:11:55.933000+00:00,2026-06-08 09:16:28.412000+00:00,buy_bid,4,0.001,,,272.479
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,60,2026-06-08 09:12:58.333000+00:00,2026-06-08 09:16:28.412000+00:00,buy_bid,4,0.001,,,210.079
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,60,2026-06-08 09:13:57.612000+00:00,2026-06-08 09:16:28.412000+00:00,buy_bid,4,0.001,,,150.8
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,60,2026-06-08 09:14:59.736000+00:00,2026-06-08 09:16:28.412000+00:00,buy_bid,5,0.002,,,88.676
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,60,2026-06-08 09:15:58.985000+00:00,2026-06-08 09:16:28.412000+00:00,buy_bid,5,0.002,,,29.427
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,300,2026-06-07 23:57:59.745000+00:00,2026-06-08 00:02:22.026000+00:00,buy_bid,4,0.003,0.0045,0.0015,262.281
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,300,2026-06-07 23:58:58.569000+00:00,2026-06-08 00:02:22.026000+00:00,buy_bid,4,0.003,0.0045,0.0015,203.457
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,300,2026-06-07 23:59:45.066000+00:00,2026-06-08 00:02:22.026000+00:00,buy_bid,4,0.003,0.0045,0.0015,156.96
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,300,2026-06-08 00:00:45.176000+00:00,2026-06-08 00:02:22.026000+00:00,buy_bid,4,0.003,0.0045,0.0015,96.85
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,300,2026-06-08 00:01:58.177000+00:00,2026-06-08 00:02:22.026000+00:00,buy_bid,4,0.003,0.0045,0.0015,23.849
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,300,2026-06-08 03:38:54.832000+00:00,2026-06-08 03:43:09.203000+00:00,buy_bid,4,0.002,0.003,0.001,254.371
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,300,2026-06-08 03:39:48.332000+00:00,2026-06-08 03:43:09.203000+00:00,buy_bid,4,0.002,0.003,0.001,200.871
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,300,2026-06-08 03:40:42.494000+00:00,2026-06-08 03:43:09.203000+00:00,buy_bid,4,0.002,0.003,0.001,146.709
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,300,2026-06-08 03:41:57.671000+00:00,2026-06-08 03:43:09.203000+00:00,buy_bid,4,0.002,0.003,0.001,71.532
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,300,2026-06-08 03:42:55.776000+00:00,2026-06-08 03:43:09.203000+00:00,buy_bid,4,0.002,0.003,0.001,13.427
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,300,2026-06-08 09:11:55.933000+00:00,2026-06-08 09:16:28.412000+00:00,buy_bid,4,0.001,,,272.479
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,2,20°C,0xe692a6f51125cf6914c090f8e01ecf1491030ed0ad775156b7dea9ed74099392,29363478216105628907851761749240280974313606434750483239415068662725185057677,YES,optimistic,300,300,2026-06-08 09:12:58.333000+00:00,2026-06-08 09:16:28.412000+00:00,buy_bid,4,0.001,,,210.079
