event_slug,city,event_date,cohort,sample_activity,token_id,factor,horizon_seconds,lifecycle_bucket,rows,valid_rows,coverage,zero_rate,ic,crossing_markout
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,depth_imbalance_1,900,<1h,112,94,0.8392857142857143,0.0,0.1163712060320357,-0.0017659574468085
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,depth_imbalance_1,900,1-6h,17372,17359,0.9992516693529818,0.0532864796359237,0.297856926149374,-0.0052205865033564
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,depth_imbalance_1,900,6-24h,30690,30690,1.0,0.1074942978168784,0.0755764641678802,-0.0072715603826904
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,30,all,48174,48018,0.9967617386972226,0.5305510433587405,0.1055394998055725,-0.0078841869875412
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,30,<1h,112,110,0.9821428571428572,0.8181818181818182,-0.2904805304703856,-0.0010318181818181
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,30,1-6h,17372,17218,0.9911351600276308,0.4339063770472761,0.223640059634998,-0.0074874031007751
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,30,6-24h,30690,30690,1.0,0.5837406321277289,0.0345561282092275,-0.0081360633195827
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,60,all,48174,47939,0.9951218499605596,0.4680322910365256,0.1197852201369298,-0.0078770747109271
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,60,<1h,112,109,0.9732142857142856,0.7247706422018348,-0.4195549862590091,-0.0009587155963303
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,60,1-6h,17372,17140,0.9866451761455216,0.3655192532088681,0.2172735362650325,-0.0075470556997875
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,60,6-24h,30690,30690,1.0,0.5243727598566308,0.0692673702001995,-0.0080899486869906
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,120,all,48174,47986,0.9960974799684476,0.3740049181011128,0.1409849221665786,-0.0075319421055997
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,120,<1h,112,107,0.9553571428571428,0.6915887850467289,-0.3642052134289056,-0.0010046728971962
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,120,1-6h,17372,17189,0.9894658070458208,0.2815754261446274,0.2239497780461022,-0.0067556359997645
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,120,6-24h,30690,30690,1.0,0.4246660149885956,0.1173189812905053,-0.0079976858838917
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,300,all,48174,48136,0.9992111927595798,0.2361018780122984,0.0555604848316452,-0.0074440005949472
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,300,<1h,112,105,0.9375,0.5714285714285714,-0.2478135239781163,-0.0011380952380952
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,300,1-6h,17372,17341,0.9982155192263412,0.1234069546162274,0.1240522732761219,-0.0065653695817046
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,300,6-24h,30690,30690,1.0,0.2986314760508309,0.0904875870566845,-0.007971308314049
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,600,all,48174,48148,0.9994602897828704,0.1236811497881532,0.0643113133112097,-0.006705140732873
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,600,<1h,112,102,0.9107142857142856,0.4215686274509804,-0.2750511404848568,-0.0012009803921568
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,600,1-6h,17372,17356,0.9990789776652084,0.0713297994929707,0.2582450987770421,-0.0050408894847283
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,600,6-24h,30690,30690,1.0,0.152297165200391,0.0274345068013806,-0.0076815407317973
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,900,all,48174,48143,0.9993564993564994,0.0877386120515962,0.0117947908207101,-0.0065816124920331
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,900,<1h,112,94,0.8392857142857143,0.0,-0.0109100544293908,-0.0017659574468085
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,900,1-6h,17372,17359,0.9992516693529818,0.0532864796359237,0.1983812827696804,-0.0053412786292907
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,42009688133614185387695789794210426525546817569721105680895031752746023105300,microprice_minus_mid,900,6-24h,30690,30690,1.0,0.1074942978168784,0.0180238840522525,-0.0073105778582687
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,30,all,55937,55934,0.9999463682356936,0.6734186720062931,0.0173503225715846,-0.0061890437560116
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,30,<1h,324,321,0.9907407407407408,0.8473520249221184,-0.3986879759151007,-0.0011043613707165
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,30,1-6h,22062,22062,1.0,0.4104795576103707,0.0170748430093441,-0.0058468451600823
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,30,6-24h,33551,33551,1.0,0.8446544067240916,0.1133124470988883,-0.0064566674646875
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,60,all,55937,55933,0.999928490980925,0.623871417588901,0.0225693106113792,-0.0062361887477313
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,60,<1h,324,320,0.9876543209876544,0.846875,-0.3980915717080904,-0.0011421875
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,60,1-6h,22062,22062,1.0,0.3522799383555434,0.0402116921608139,-0.0059172205579479
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,60,6-24h,33551,33551,1.0,0.8003338201543918,0.1276888902112974,-0.0064888975341153
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,120,all,55937,55933,0.999928490980925,0.542130763592155,0.0145520130387525,-0.0063310889292196
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,120,<1h,324,320,0.9876543209876544,0.83125,-0.4284797611511343,-0.00115
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,120,1-6h,22062,22062,1.0,0.2492974345027649,0.089413341748229,-0.0060484225800411
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,120,6-24h,33551,33551,1.0,0.7319304938749963,0.0763963684971035,-0.006561422671774
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,300,all,55937,55924,0.999767595688006,0.4227165438809813,-0.0891497606951391,-0.0065582400029042
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,300,<1h,324,311,0.9598765432098766,0.8263665594855305,-0.4308070692399868,-0.001200964630225
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,300,1-6h,22062,22062,1.0,0.1961744175505393,0.0591854995591963,-0.005993142669912
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,300,6-24h,33551,33551,1.0,0.567941343030014,-0.070933511585083,-0.0069693859229111
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,600,all,55937,55907,0.9994636823569372,0.2965102759940615,-0.1812189874830578,-0.0066470203725896
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,600,<1h,324,294,0.9074074074074074,0.8027210884353742,-0.4661515907363562,-0.0012755102040816
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,600,1-6h,22062,22062,1.0,0.1202973438491523,0.0111517816689267,-0.0056023918741808
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,600,6-24h,33551,33551,1.0,0.4079461118893625,-0.1603590136201178,-0.0073621468757481
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,900,all,55937,55891,0.9991776462806372,0.2409511370345851,-0.2230270149933063,-0.0064163155218133
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,900,<1h,324,278,0.8580246913580247,0.7122302158273381,-0.6537522438838436,-0.0015035971223021
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,900,1-6h,22062,22062,1.0,0.0960928292992475,0.0845114167765302,-0.0044544326905073
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,900,6-24h,33551,33551,1.0,0.3323000804745015,-0.2934933796812248,-0.0077114855159205
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,microprice_minus_mid,30,all,55937,55934,0.9999463682356936,0.6734186720062931,0.0274838213001445,-0.0062103102849703
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,microprice_minus_mid,30,<1h,324,321,0.9907407407407408,0.8473520249221184,-0.3540331049899227,-0.0011043613707165
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,microprice_minus_mid,30,1-6h,22062,22062,1.0,0.4104795576103707,-0.0032693136560315,-0.0059012626497075
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,microprice_minus_mid,30,6-24h,33551,33551,1.0,0.8446544067240916,0.1219079999012733,-0.0064584043539367
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,microprice_minus_mid,60,all,55937,55933,0.999928490980925,0.623871417588901,0.0332261258960965,-0.0062727609713758
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,low,50979775152070414665786220645899721020850466999824432483503660264897453494116,microprice_minus_mid,60,<1h,324,320,0.9876543209876544,0.846875,-0.3546369044110813,-0.0011421875
