market_index,token_id,error
9,71661349908038207152325617776415157925640571693298057244641779599548355185764,"ValueError(""sequence=357794, event_type='tick_size_change', market='0xe699aed3041b377312a5d9c82ef21c328ffe28ef40ef26f715ab41d937285aa3', asset_id='71661349908038207152325617776415157925640571693298057244641779599548355185764', field=old_tick_size: must equal current token tick size 0.001"")"
2,10714043249221165653796990846698146636875397591589621005024000925347201935845,"ValueError(""sequence=1607, event_type='tick_size_change', market='0x27e22b231622e2608fee148f47dbef14592d6a8138a71cc14707078cefc96f81', asset_id='10714043249221165653796990846698146636875397591589621005024000925347201935845', field=old_tick_size: must equal current token tick size 0.001"")"
3,85557814276102460086017139724414951287269675712227081772859420837962425478871,"ValueError(""sequence=9, event_type='tick_size_change', market='0x5e8e97d83eb2284109ff8fc81e557f5ac637829446e185915b3720c67ef845ca', asset_id='85557814276102460086017139724414951287269675712227081772859420837962425478871', field=old_tick_size: must equal current token tick size 0.001"")"
3,84089827397451004920314812797574606439100554740706119810588657131717639249468,"ValueError(""sequence=60777, event_type='tick_size_change', market='0xe994d2086a64171d90614fedea0394e7c5c87423f7bc43f139f9b8a808a207bb', asset_id='84089827397451004920314812797574606439100554740706119810588657131717639249468', field=old_tick_size: must equal current token tick size 0.001"")"
4,112387319519732256544494761266076963189527450145666741886561346558446116619212,"ValueError(""sequence=136082, event_type='tick_size_change', market='0x0c29e888a3315afa1fe3957dc31d53bc98ae0d8ae420d34e522ab8f2174f6b17', asset_id='112387319519732256544494761266076963189527450145666741886561346558446116619212', field=old_tick_size: must equal current token tick size 0.001"")"
3,1380462644275798582765301764777788097895794213708638363758334579355348552507,"ValueError(""sequence=19865, event_type='tick_size_change', market='0xc4d5b5a68e0d31a9e83b8428c29aad1ba7d128e03e0ecb8bb71b7a7900b24bfb', asset_id='1380462644275798582765301764777788097895794213708638363758334579355348552507', field=old_tick_size: must equal current token tick size 0.001"")"
