event_slug,event_title,event_start,event_end,market_index,market_label,condition_id,asset_id,token_side,factor,factor_family,label_name,label_mode,horizon_value,count,raw_spearman,progress_neutral_spearman,nonzero_direction_hit,quantile_monotonicity_spearman,bottom_quantile_mean_return,top_quantile_mean_return,top_minus_bottom_mean_return,zero_return_share,positive_return_share,median_label_elapsed_seconds,p90_label_elapsed_seconds,source_time_inversion_count,source_delay_over_threshold_count
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,ofi_30s,flow_clock_sensitive,wall_300s,wall_clock_seconds,300,7451,-0.13163921948975077,-0.13163921948975077,0.7270114942528736,,-0.0017695658091738124,-0.05796634615384615,-0.05619678034467234,0.9532948597503691,0.0029526238088847133,308.85699999999997,342.932,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,trade_pressure_30s,flow_clock_sensitive,wall_300s,wall_clock_seconds,300,7451,,,0.06321839080459771,,,,,0.9532948597503691,0.0029526238088847133,308.85699999999997,342.932,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_1,book,wall_900s,wall_clock_seconds,900,7350,-0.9485127760442915,-0.9485127760442915,0.09563409563409564,,,,,0.9345578231292517,0.0,907.641,943.383,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_3,book,wall_900s,wall_clock_seconds,900,7350,-0.11133952509878499,-0.11133952509878499,0.20374220374220375,-0.19999999999999998,-0.00036175174915781293,-0.04051704545454546,-0.040155293705387646,0.9345578231292517,0.0,907.641,943.383,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_5,book,wall_900s,wall_clock_seconds,900,7350,-0.11457008322993847,-0.11457008322993847,0.2515592515592516,-0.19999999999999998,-0.0008776773761713521,-0.03440029761904762,-0.03352262024287627,0.9345578231292517,0.0,907.641,943.383,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,microprice_minus_mid,book,wall_900s,wall_clock_seconds,900,7350,-0.6475670225981616,-0.6475670225981616,0.18087318087318088,,-3.105232892466935e-05,-0.06729060913705584,-0.06725955680813117,0.9345578231292517,0.0,907.641,943.383,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,ofi_30s,flow_clock_sensitive,wall_900s,wall_clock_seconds,900,7350,-0.1947922998447203,-0.1947922998447203,0.8004158004158004,,-0.00243451559481093,-0.0873846153846154,-0.08495009978980446,0.9345578231292517,0.0,907.641,943.383,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,trade_pressure_30s,flow_clock_sensitive,wall_900s,wall_clock_seconds,900,7350,,,0.0,,,,,0.9345578231292517,0.0,907.641,943.383,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_1,book,valid_obs_10,valid_observation_steps,10,7492,-0.3387935741627084,-0.3387935741627084,0.3037974683544304,,,,,0.9789108382274426,0.0026695141484249867,40.155,132.49900000000005,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_3,book,valid_obs_10,valid_observation_steps,10,7492,-0.08473289844889086,-0.08473289844889086,0.310126582278481,-0.19999999999999998,-1.712071982004499e-05,-0.01946590909090909,-0.019448788371089043,0.9789108382274426,0.0026695141484249867,40.155,132.49900000000005,4660,7169
