filter,snapshots,events,p50_abs_deviation,p95_abs_deviation,share_abs_deviation_gt_010,max_abs_deviation
Raw,60281,36,0.032500000000000195,0.135,0.07188002853303695,3.9350000000000005
Complete outcomes,38105,23,0.033500000000000085,0.08450000000000002,0.028631413200367405,2.495
Fresh BBO <=120s,28087,36,0.03349999999999986,0.14000000000000012,0.08078470466763983,3.9350000000000005
Spread max <=0.10,54859,36,0.03200000000000003,0.11850000000000005,0.05933392879928544,0.998
Synchronized <=60s,26976,36,0.03349999999999986,0.1395000000000001,0.08066429418742586,3.9350000000000005
Complete + fresh,18029,22,0.03349999999999986,0.08250000000000024,0.02967441344500527,2.495
Complete + fresh + spread + sync,14616,22,0.03299999999999992,0.07650000000000001,0.014025725232621784,0.17999999999999972
