event_slug,city,event_date,timestamp,snapshot,market_index,market_label,temperature_bin,raw_mid,normalized_probability
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,2026-06-04 11:00:00+00:00,T-1,5.0,18°C,18.0,0.53,0.5198626777832271
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,2026-06-04 11:00:00+00:00,T-1,6.0,19°C,19.0,0.385,0.3776360961255518
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,2026-06-04 11:00:00+00:00,T-1,7.0,20°C,20.0,0.08099999999999999,0.07945071113290829
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,2026-06-04 11:00:00+00:00,T-1,8.0,21°C,21.0,0.015,0.014713094654242278
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,2026-06-04 11:00:00+00:00,T-1,9.0,22°C,22.0,0.002,0.00196174595389897
highest-temperature-in-london-on-june-4-2026,London,2026-06-04,2026-06-04 11:00:00+00:00,T-1,10.0,23°C or higher,23.0,0.0015,0.0014713094654242279
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 06:00:00+00:00,T-6,0.0,16°C or below,16.0,0.002,0.0019970044932601095
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 06:00:00+00:00,T-6,1.0,17°C,17.0,0.0015,0.0014977533699450823
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 06:00:00+00:00,T-6,2.0,18°C,18.0,0.002,0.0019970044932601095
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 06:00:00+00:00,T-6,3.0,19°C,19.0,0.0015,0.0014977533699450823
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 06:00:00+00:00,T-6,4.0,20°C,20.0,0.0015,0.0014977533699450823
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 06:00:00+00:00,T-6,5.0,21°C,21.0,0.006500000000000001,0.0064902646030953574
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 06:00:00+00:00,T-6,6.0,22°C,22.0,0.0365,0.036445332001997
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 06:00:00+00:00,T-6,7.0,23°C,23.0,0.245,0.24463305042436342
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 06:00:00+00:00,T-6,8.0,24°C,24.0,0.525,0.5242136794807788
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 06:00:00+00:00,T-6,9.0,25°C,25.0,0.136,0.13579630554168748
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 06:00:00+00:00,T-6,10.0,26°C or higher,26.0,0.044,0.04393409885172241
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 11:00:00+00:00,T-1,0.0,16°C or below,16.0,0.002,0.0015987210231814548
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 11:00:00+00:00,T-1,1.0,17°C,17.0,0.0015,0.001199040767386091
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 11:00:00+00:00,T-1,2.0,18°C,18.0,0.002,0.0015987210231814548
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 11:00:00+00:00,T-1,3.0,19°C,19.0,0.0015,0.001199040767386091
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 11:00:00+00:00,T-1,4.0,20°C,20.0,0.0015,0.001199040767386091
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 11:00:00+00:00,T-1,5.0,21°C,21.0,0.002,0.0015987210231814548
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 11:00:00+00:00,T-1,6.0,22°C,22.0,0.0015,0.001199040767386091
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 11:00:00+00:00,T-1,7.0,23°C,23.0,0.2,0.15987210231814547
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 11:00:00+00:00,T-1,8.0,24°C,24.0,0.745,0.5955235811350919
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 11:00:00+00:00,T-1,9.0,25°C,25.0,0.2375,0.18984812150279773
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,2026-06-04 11:00:00+00:00,T-1,10.0,26°C or higher,26.0,0.056499999999999995,0.045163868904876094
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-04 12:00:00+00:00,T-24,0.0,53°F or below,53.0,0.002,0.001988071570576541
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-04 12:00:00+00:00,T-24,1.0,54-55°F,54.0,0.003,0.002982107355864811
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-04 12:00:00+00:00,T-24,5.0,62-63°F,62.0,0.0015,0.0014910536779324055
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-04 12:00:00+00:00,T-24,9.0,70-71°F,70.0,0.0015,0.0014910536779324055
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-04 12:00:00+00:00,T-24,10.0,72°F or higher,72.0,0.998,0.9920477137176938
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 06:00:00+00:00,T-6,0.0,53°F or below,53.0,0.0015,0.0014785608674223758
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 06:00:00+00:00,T-6,1.0,54-55°F,54.0,0.003,0.0029571217348447515
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 06:00:00+00:00,T-6,2.0,56-57°F,56.0,0.002,0.001971414489896501
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 06:00:00+00:00,T-6,3.0,58-59°F,58.0,0.0015,0.0014785608674223758
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 06:00:00+00:00,T-6,5.0,62-63°F,62.0,0.002,0.001971414489896501
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 06:00:00+00:00,T-6,6.0,64-65°F,64.0,0.0015,0.0014785608674223758
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 06:00:00+00:00,T-6,7.0,66-67°F,66.0,0.0015,0.0014785608674223758
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 06:00:00+00:00,T-6,8.0,68-69°F,68.0,0.0015,0.0014785608674223758
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 06:00:00+00:00,T-6,9.0,70-71°F,70.0,0.002,0.001971414489896501
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 06:00:00+00:00,T-6,10.0,72°F or higher,72.0,0.998,0.9837358304583539
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 08:01:00+00:00,T-1,0.0,53°F or below,53.0,0.0015,0.0014785608674223758
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 08:01:00+00:00,T-1,1.0,54-55°F,54.0,0.003,0.0029571217348447515
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 08:01:00+00:00,T-1,2.0,56-57°F,56.0,0.002,0.001971414489896501
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 08:01:00+00:00,T-1,3.0,58-59°F,58.0,0.0015,0.0014785608674223758
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 08:01:00+00:00,T-1,5.0,62-63°F,62.0,0.002,0.001971414489896501
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 08:01:00+00:00,T-1,6.0,64-65°F,64.0,0.0015,0.0014785608674223758
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 08:01:00+00:00,T-1,7.0,66-67°F,66.0,0.0015,0.0014785608674223758
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 08:01:00+00:00,T-1,8.0,68-69°F,68.0,0.0015,0.0014785608674223758
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 08:01:00+00:00,T-1,9.0,70-71°F,70.0,0.002,0.001971414489896501
highest-temperature-in-denver-on-june-5-2026,Denver,2026-06-05,2026-06-05 08:01:00+00:00,T-1,10.0,72°F or higher,72.0,0.998,0.9837358304583539
