event_slug,city,event_date,cohort,timestamp,lifecycle_bucket,expected_outcomes,observable_outcomes,valid_outcomes,complete_outcomes,sum_mid,sum_deviation,max_bbo_age_seconds,median_bbo_age_seconds,max_spread,median_spread,outcome_source_span_seconds,event_has_tick_size_conflict,sum_best_bid,sum_best_ask
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 12:04:00+00:00,6-24h,11,7,6,False,0.7929999999999999,-0.20700000000000007,2.566,1.3465,0.030000000000000027,0.017499999999999995,2.498,True,0.744,0.842
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 19:59:00+00:00,6-24h,11,7,7,False,0.7929999999999999,-0.20700000000000007,23754.267,11.409,0.020000000000000004,0.010000000000000009,23753.544,True,0.764,0.822
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 20:00:00+00:00,6-24h,11,7,7,False,0.7929999999999999,-0.20700000000000007,23814.267,12.377,0.020000000000000004,0.010000000000000009,23808.749,True,0.764,0.822
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 17:47:00+00:00,6-24h,11,7,7,False,0.7929999999999999,-0.20700000000000007,15834.267,16.613,0.020000000000000004,0.008,15830.153,True,0.7619999999999999,0.824
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 17:46:00+00:00,6-24h,11,7,7,False,0.7929999999999999,-0.20700000000000007,15774.267,5.64,0.010000000000000009,0.008,15770.032,True,0.7719999999999999,0.814
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 17:49:00+00:00,6-24h,11,7,7,False,0.7929999999999999,-0.20700000000000007,15954.267,21.875,0.020000000000000004,0.008,15947.683,True,0.7619999999999999,0.824
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 17:50:00+00:00,6-24h,11,7,7,False,0.7929999999999999,-0.20700000000000007,16014.267,1.051,0.020000000000000004,0.008,16013.511,True,0.7619999999999999,0.824
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 19:57:00+00:00,6-24h,11,7,7,False,0.7929999999999999,-0.20700000000000007,23634.267,4.568,0.020000000000000004,0.010000000000000009,23632.496,True,0.764,0.822
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 19:58:00+00:00,6-24h,11,7,7,False,0.7929999999999999,-0.20700000000000007,23694.267,2.379,0.020000000000000004,0.010000000000000009,23693.311,True,0.764,0.822
highest-temperature-in-houston-on-june-12-2026,Houston,2026-06-12,degraded,2026-06-11 02:46:00+00:00,>24h,11,11,11,True,1.2069999999999996,0.20699999999999963,135.328,25.326,0.14,0.03999999999999998,134.732,False,0.9690000000000001,1.4449999999999998
highest-temperature-in-houston-on-june-12-2026,Houston,2026-06-12,degraded,2026-06-11 02:45:00+00:00,>24h,11,11,11,True,1.2069999999999996,0.20699999999999963,75.328,41.606,0.14,0.03999999999999998,71.707,False,0.9690000000000001,1.4449999999999998
highest-temperature-in-houston-on-june-12-2026,Houston,2026-06-12,degraded,2026-06-11 02:48:00+00:00,>24h,11,11,11,True,1.2065,0.2064999999999999,90.7,38.464,0.139,0.03999999999999998,89.559,False,0.9690000000000001,1.444
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 17:44:00+00:00,6-24h,11,7,7,False,0.7939999999999999,-0.20600000000000007,15654.267,3.081,0.010000000000000009,0.008,15654.257,True,0.773,0.815
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 17:42:00+00:00,6-24h,11,7,7,False,0.7939999999999999,-0.20600000000000007,15534.267,2.589,0.010000000000000009,0.008,15534.103,True,0.773,0.815
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 17:43:00+00:00,6-24h,11,7,7,False,0.7939999999999999,-0.20600000000000007,15594.267,1.408,0.010000000000000009,0.008,15594.239,True,0.773,0.815
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 17:45:00+00:00,6-24h,11,7,7,False,0.7939999999999999,-0.20600000000000007,15714.267,24.046,0.010000000000000009,0.008,15695.686,True,0.773,0.815
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-05 07:34:00+00:00,1-6h,11,7,7,False,0.794,-0.20599999999999996,65454.267,12480.92,0.040000000000000036,0.001,65454.193,True,0.766,0.8220000000000001
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,clean,2026-06-04 11:13:00+00:00,<1h,11,11,11,True,1.206,0.20599999999999996,33724.016,9509.137,0.38,0.002,33724.013,False,0.902,1.51
