event_slug,city,event_date,cohort,timestamp,lifecycle_bucket,sum_mid,sum_deviation,implied_temperature,distribution_variance,distribution_width,entropy,top3_probability_mass,active_market_count,valid_market_count,updates,trades,spread_median,spread_p90,probability_mass_flow,pressure_factor,future_mean_move,future_entropy_change
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,2026-06-04 00:00:00+00:00,6-24h,0.9744999999999999,-0.025500000000000078,39.07901487942535,0.07277152825474431,0.2697619844506344,0.27635674777468766,1.0,2,2,83,1,0.07550000000000003,0.09190000000000001,,0.004437116974403854,0.016223215812743774,0.03813545350672298
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,2026-06-04 00:01:00+00:00,6-24h,0.987,-0.013000000000000012,39.095238095238095,0.08616780045351474,0.29354352395090366,0.31449220128141064,1.0,2,2,191,1,0.03800000000000002,0.04600000000000004,0.016223215812743774,-0.05448544616981239,0.0,0.0
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,2026-06-04 00:02:00+00:00,6-24h,0.987,-0.013000000000000012,39.095238095238095,0.08616780045351474,0.29354352395090366,0.31449220128141064,1.0,2,2,132,0,0.03800000000000002,0.04600000000000004,0.0,-0.014580646276013643,0.0,0.0
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,2026-06-04 00:03:00+00:00,6-24h,0.987,-0.013000000000000012,39.095238095238095,0.08616780045351474,0.29354352395090366,0.31449220128141064,1.0,2,2,77,0,0.03800000000000002,0.04600000000000004,0.0,-0.014580646276013643,0.0219376684073751,0.05924065246295218
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,2026-06-04 00:04:00+00:00,6-24h,0.987,-0.013000000000000012,39.095238095238095,0.08616780045351474,0.29354352395090366,0.31449220128141064,1.0,2,2,122,0,0.03800000000000002,0.04600000000000004,0.0,-0.0020214346771775193,0.0219376684073751,0.05924065246295218
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,2026-06-04 00:05:00+00:00,6-24h,0.9984999999999999,-0.0015000000000000568,39.11717576364547,0.12648015588731118,0.35564048685057104,0.3737328537443628,1.0,3,3,122,0,0.025999999999999995,0.043600000000000035,0.0219376684073751,-0.018819879127203332,0.0,0.0
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,2026-06-04 00:06:00+00:00,6-24h,0.9984999999999999,-0.0015000000000000568,39.11717576364547,0.12648015588731118,0.35564048685057104,0.3737328537443628,1.0,3,3,85,0,0.025999999999999995,0.043600000000000035,0.0,-0.018819879127203332,0.0,0.0
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,2026-06-04 00:07:00+00:00,6-24h,0.9984999999999999,-0.0015000000000000568,39.11717576364547,0.12648015588731118,0.35564048685057104,0.3737328537443628,1.0,3,3,53,0,0.025999999999999995,0.043600000000000035,0.0,-0.018819879127203332,0.0,0.0
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,2026-06-04 00:08:00+00:00,6-24h,0.9984999999999999,-0.0015000000000000568,39.11717576364547,0.12648015588731118,0.35564048685057104,0.3737328537443628,1.0,3,3,89,0,0.025999999999999995,0.043600000000000035,0.0,-0.018819879127203332,0.0,0.0
highest-temperature-in-lucknow-on-june-4-2026,Lucknow,2026-06-04,clean,2026-06-04 00:09:00+00:00,6-24h,0.9984999999999999,-0.0015000000000000568,39.11717576364547,0.12648015588731118,0.35564048685057104,0.3737328537443628,1.0,3,3,38,0,0.025999999999999995,0.043600000000000035,0.0,-0.018819879127203332,0.0,0.0
