event_slug,market_label,token_id,factor,horizon_seconds,valid_rows,nonzero_rows,spearman_ic,nonzero_hit_rate,average_win_move,average_loss_move,zero_return_share,top_minus_bottom
highest-temperature-in-denver-on-june-4-2026,55°F or below,52471060122779847657819606601047158770876649853474075692475678704417666251815,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,55°F or below,52471060122779847657819606601047158770876649853474075692475678704417666251815,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,55°F or below,52471060122779847657819606601047158770876649853474075692475678704417666251815,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,56-57°F,37586914945595317398107321072041028325532456108948668295727300000828436037648,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,56-57°F,37586914945595317398107321072041028325532456108948668295727300000828436037648,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,56-57°F,37586914945595317398107321072041028325532456108948668295727300000828436037648,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,58-59°F,104169018744549296252849991248764756945027197044217450322025818558935521221813,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,58-59°F,104169018744549296252849991248764756945027197044217450322025818558935521221813,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,58-59°F,104169018744549296252849991248764756945027197044217450322025818558935521221813,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,60-61°F,83983425234136365092644035981572152078961669425361618058543212764372244169684,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,60-61°F,83983425234136365092644035981572152078961669425361618058543212764372244169684,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,60-61°F,83983425234136365092644035981572152078961669425361618058543212764372244169684,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,62-63°F,92967436409374632255014102595489238712067336077773128823043291588930476995043,depth_imbalance_1,30,0,0,,,,,,
