event_slug,city,event_date,cohort,sample_activity,token_id,factor,horizon_seconds,lifecycle_bucket,rows,valid_rows,coverage,zero_rate,ic,crossing_markout
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,60,6-24h,12120,11864,0.9788778877887788,0.9286918408631152,-0.0505699425246185,-0.0010184592043155
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,60,>24h,6001,5969,0.994667555407432,0.9323169710169208,-0.0374289583852234,-0.0030569609649857
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,120,all,18121,17581,0.9702003200706364,0.9072293953700016,-0.0047770692459539,-0.0016813321199021
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,120,6-24h,12120,11625,0.959158415841584,0.9085591397849464,0.0058223083496235,-0.0010151827956989
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,120,>24h,6001,5956,0.9925012497917014,0.9046339825386164,-0.095065141895718,-0.0029815312290127
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,300,all,18121,17332,0.956459356547652,0.892222478652204,0.0578775153957357,-0.0016793503346411
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,300,6-24h,12120,11379,0.9388613861386138,0.9031549345285176,0.154181963207426,-0.0010093593461639
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,300,>24h,6001,5953,0.992001333111148,0.8713253821602553,-0.0902114747324745,-0.0029600201579035
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,600,all,18121,17121,0.9448154075382154,0.8634425559254716,0.05653171086622,-0.0016754570410606
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,600,6-24h,12120,11176,0.922112211221122,0.9011274158911954,0.1824824071629313,-0.001009842519685
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,600,>24h,6001,5945,0.9906682219630062,0.7925988225399495,-0.0655919704274192,-0.0029267451640033
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,900,all,18121,16968,0.9363721648915624,0.8182461103253182,0.1016722054003092,-0.0016458038661008
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,900,6-24h,12120,11066,0.913036303630363,0.8500813302006145,0.1127428949471505,-0.0009793511657328
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,9240623362032232402210121631897629934803161391074671828803872173952662674475,microprice_minus_mid,900,>24h,6001,5902,0.983502749541743,0.7585564215520163,0.0171662527788701,-0.0028953744493392
