event_slug,city,event_date,cohort,factor,horizon_seconds,lifecycle_bucket,ic,zero_rate,crossing_markout,coverage,tokens
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,300,>24h,0.044294292005530554,0.6832066907780372,-0.006109720711287309,0.9986065876307254,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,300,all,0.0340396949615372,0.6581777358734783,-0.007747503005778617,0.9921854961358455,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,600,6-24h,0.08466555677870888,0.5254750484198438,-0.010084983324539712,0.9805723506005491,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,600,>24h,0.05559760691519682,0.6044568214461686,-0.006024098367218545,0.993187527031949,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,600,all,0.05246854023391771,0.5880054659222614,-0.007659271124342528,0.987219355819225,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,900,6-24h,0.06686008668932333,0.4806312968107137,-0.010363624775807444,0.9788133022610889,9
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,900,>24h,0.0676805786328562,0.5483792887519997,-0.0060217005785170915,0.9922919644897964,11
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,microprice_minus_mid,900,all,0.05038120172644045,0.5392606402287957,-0.007778517659062182,0.985963570683943,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,30,1-6h,-0.1410713545902022,0.644845971563981,-0.001560148844786725,0.464924610454319,4
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,30,6-24h,0.06004943830033234,0.8198449693192789,-0.007844205632317445,0.9983350435952318,9
