filter,snapshots,events,p50_abs_deviation,p95_abs_deviation,share_abs_deviation_gt_010,max_abs_deviation
Raw,109767,36,0.03049999999999997,0.09650000000000003,0.04737307205262055,4.369999999999999
Complete outcomes,101379,34,0.030000000000000027,0.08550000000000013,0.03563854447173478,4.369999999999999
Fresh BBO <=120s,33074,36,0.039000000000000146,0.10999999999999988,0.0613472818528149,4.369999999999999
Spread max <=0.10,98764,36,0.02850000000000008,0.07650000000000012,0.019298529828682517,0.985
Synchronized <=60s,31655,36,0.039000000000000146,0.1080000000000001,0.05926393934607487,4.369999999999999
Complete + fresh,30481,34,0.03699999999999992,0.08600000000000008,0.030970112529116498,4.369999999999999
Complete + fresh + spread + sync,25898,34,0.03649999999999998,0.07999999999999985,0.017761989342806393,0.24850000000000017
