event_slug,city,event_date,cohort,timestamp,lifecycle_bucket,expected_outcomes,observable_outcomes,valid_outcomes,complete_outcomes,sum_mid,sum_deviation,max_bbo_age_seconds,median_bbo_age_seconds,max_spread,median_spread,outcome_source_span_seconds,event_has_tick_size_conflict,sum_best_bid,sum_best_ask
highest-temperature-in-karachi-on-june-9-2026,Karachi,2026-06-09,clean,2026-06-09 07:19:00+00:00,6-24h,11,11,11,True,1.1480000000000001,0.14800000000000013,171444.727,0.31,0.30999999999999994,0.006999999999999999,171444.712,False,0.7210000000000001,1.575
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-09 10:29:00+00:00,>24h,11,10,10,False,0.8519999999999999,-0.14800000000000013,6522.726,3.8164999999999996,0.04000000000000001,0.006,6522.057,True,0.793,0.911
highest-temperature-in-chengdu-on-june-10-2026,Chengdu,2026-06-10,clean,2026-06-08 16:07:00+00:00,>24h,11,11,11,True,1.1480000000000001,0.14800000000000013,12.782,10.6,0.08999999999999997,0.03,12.102,False,0.9670000000000001,1.3290000000000002
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-09 08:09:00+00:00,>24h,11,10,10,False,0.852,-0.14800000000000002,2.391,1.785,0.07,0.008999999999999998,0.757,True,0.77,0.934
highest-temperature-in-jeddah-on-june-6-2026,Jeddah,2026-06-06,degraded,2026-06-05 05:10:00+00:00,>24h,11,11,8,False,0.852,-0.14800000000000002,6.572,3.45,0.08,0.015000000000000003,6.439,False,0.734,0.97
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 19:52:00+00:00,>24h,11,10,10,False,0.852,-0.14800000000000002,6.718,3.5895,0.10999999999999999,0.0175,6.718,True,0.6819999999999999,1.022
highest-temperature-in-jeddah-on-june-6-2026,Jeddah,2026-06-06,degraded,2026-06-05 05:11:00+00:00,>24h,11,11,8,False,0.852,-0.14800000000000002,58.921,16.8975,0.08,0.015000000000000003,58.365,False,0.734,0.97
highest-temperature-in-jeddah-on-june-6-2026,Jeddah,2026-06-06,degraded,2026-06-05 05:12:00+00:00,>24h,11,11,8,False,0.852,-0.14800000000000002,25.322,25.256500000000003,0.08,0.015000000000000003,18.019,False,0.734,0.97
highest-temperature-in-jeddah-on-june-6-2026,Jeddah,2026-06-06,degraded,2026-06-05 05:13:00+00:00,>24h,11,11,8,False,0.852,-0.14800000000000002,85.278,18.756500000000003,0.08,0.015000000000000003,76.214,False,0.734,0.97
highest-temperature-in-karachi-on-june-9-2026,Karachi,2026-06-09,clean,2026-06-09 07:14:00+00:00,6-24h,11,11,11,True,1.148,0.1479999999999999,171144.727,0.086,0.34,0.006999999999999999,171144.706,False,0.7510000000000001,1.545
highest-temperature-in-mexico-city-on-june-8-2026,Mexico City,2026-06-08,clean,2026-06-08 17:15:00+00:00,6-24h,11,11,11,True,1.148,0.1479999999999999,70758.655,329.729,0.10999999999999999,0.009,70758.455,False,0.9550000000000001,1.3409999999999997
highest-temperature-in-moscow-on-june-7-2026,Moscow,2026-06-07,degraded,2026-06-07 13:52:00+00:00,6-24h,11,11,11,True,1.148,0.1479999999999999,37035.391,9.073,0.31000000000000005,0.001,37034.925,False,0.948,1.348
highest-temperature-in-kuala-lumpur-on-june-9-2026,Kuala Lumpur,2026-06-09,clean,2026-06-07 06:40:00+00:00,>24h,11,11,11,True,0.8524999999999999,-0.14750000000000008,1.338,0.974,0.09,0.04000000000000001,1.335,False,0.5980000000000001,1.1070000000000002
highest-temperature-in-jeddah-on-june-6-2026,Jeddah,2026-06-06,degraded,2026-06-05 05:26:00+00:00,>24h,11,11,8,False,0.8524999999999999,-0.14750000000000008,9.046,2.334,0.061,0.030000000000000013,8.968,False,0.731,0.9739999999999999
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-09 09:41:00+00:00,>24h,11,10,10,False,0.8524999999999999,-0.14750000000000008,3642.726,6.359500000000001,0.04000000000000001,0.006999999999999999,3641.403,True,0.805,0.9
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 04:40:00+00:00,>24h,11,10,10,False,0.8524999999999999,-0.14750000000000008,9.611,9.494,0.19999999999999998,0.044,9.506,True,0.465,1.2400000000000002
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 14:50:00+00:00,>24h,11,10,10,False,0.8525,-0.14749999999999996,1.416,1.376,0.09,0.010000000000000009,0.168,True,0.743,0.9620000000000001
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,2026-06-06 23:42:00+00:00,>24h,11,11,11,True,1.1475,0.14749999999999996,23.704,17.95,0.02999999999999997,0.005999999999999999,21.777,False,1.093,1.2020000000000002
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-08 19:48:00+00:00,>24h,11,10,10,False,0.8525,-0.14749999999999996,3.61,0.941,0.12,0.0175,2.738,True,0.6729999999999999,1.032
