event_slug,city,event_date,timestamp,snapshot,market_index,market_label,temperature_bin,raw_mid,normalized_probability
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-05 19:15:00+00:00,T-24,1.0,35°C,35.0,0.0285,0.02903718797758533
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-05 19:15:00+00:00,T-24,2.0,36°C,36.0,0.11649999999999999,0.11869587366276108
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-05 19:15:00+00:00,T-24,3.0,37°C,37.0,0.375,0.38206826286296486
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-05 19:15:00+00:00,T-24,4.0,38°C,38.0,0.32,0.32603158430973006
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-05 19:15:00+00:00,T-24,5.0,39°C,39.0,0.1,0.10188487009679063
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-05 19:15:00+00:00,T-24,6.0,40°C,40.0,0.0245,0.024961793173713706
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-05 19:15:00+00:00,T-24,7.0,41°C,41.0,0.006,0.0061130922058074385
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-05 19:15:00+00:00,T-24,8.0,42°C,42.0,0.003,0.0030565461029037192
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-05 19:15:00+00:00,T-24,9.0,43°C,43.0,0.002,0.0020376974019358125
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-05 19:15:00+00:00,T-24,10.0,44°C or higher,44.0,0.0015,0.0015282730514518596
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 13:15:00+00:00,T-6,0.0,34°C or below,34.0,0.0015,0.0014734774066797642
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 13:15:00+00:00,T-6,1.0,35°C,35.0,0.0025,0.002455795677799607
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 13:15:00+00:00,T-6,2.0,36°C,36.0,0.002,0.0019646365422396855
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 13:15:00+00:00,T-6,3.0,37°C,37.0,0.996,0.9783889980353634
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 13:15:00+00:00,T-6,4.0,38°C,38.0,0.0045000000000000005,0.004420432220039293
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 13:15:00+00:00,T-6,5.0,39°C,39.0,0.0035,0.00343811394891945
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 13:15:00+00:00,T-6,6.0,40°C,40.0,0.0015,0.0014734774066797642
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 13:15:00+00:00,T-6,7.0,41°C,41.0,0.0015,0.0014734774066797642
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 13:15:00+00:00,T-6,8.0,42°C,42.0,0.0015,0.0014734774066797642
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 13:15:00+00:00,T-6,9.0,43°C,43.0,0.0015,0.0014734774066797642
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 13:15:00+00:00,T-6,10.0,44°C or higher,44.0,0.002,0.0019646365422396855
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 18:15:00+00:00,T-1,0.0,34°C or below,34.0,0.0015,0.0014756517461878998
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 18:15:00+00:00,T-1,1.0,35°C,35.0,0.0025,0.002459419576979833
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 18:15:00+00:00,T-1,2.0,36°C,36.0,0.002,0.0019675356615838665
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 18:15:00+00:00,T-1,3.0,37°C,37.0,0.9984999999999999,0.9822921790457452
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 18:15:00+00:00,T-1,4.0,38°C,38.0,0.0025,0.002459419576979833
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 18:15:00+00:00,T-1,5.0,39°C,39.0,0.0015,0.0014756517461878998
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 18:15:00+00:00,T-1,6.0,40°C,40.0,0.0015,0.0014756517461878998
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 18:15:00+00:00,T-1,7.0,41°C,41.0,0.0015,0.0014756517461878998
